mean_pnl,worst_pnl,median_pnl,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,row_tag,seed,epochs,overrides,elapsed_min
-162742.75,-2358329.0,-203209.7890625,-1569304.0,112118.96875,-274861.71875,-789025.0,0.0,-50.0,150.0,1.0,default,42,100,,6.6626606771166434
75375.546875,-1607013.375,18429.7421875,-1569304.0,112118.96875,-36743.421875,-37709.375,0.0,-47.0,47.0,1.0,floor_penalty=5,42,100,objective.Floor_Penalty=5,6.526308380083295
100798.703125,-1542934.25,43751.798828125,-1569304.0,112118.96875,-11320.265625,26369.75,0.0,-45.0,62.0,1.0,floor_penalty=20,42,100,objective.Floor_Penalty=20,6.600859313283339
-53901.25390625,-1327104.25,-85500.13671875,-1569304.0,112118.96875,-166020.22265625,242199.75,0.0,-34.0,57.0,1.0,dense_tracking_reward_scale=1,42,100,optimizer.Dense_Tracking_Reward_Scale=1,6.596630253116685
103113.71875,-1478668.25,85807.26953125,-1569304.0,112118.96875,-9005.25,90635.75,0.0,-50.0,138.0,1.0,dense_tracking_reward_scale=3,42,100,optimizer.Dense_Tracking_Reward_Scale=3,6.557796283533329
43979.28125,-1519175.0,5551.27734375,-1569304.0,112118.96875,-68139.6875,50129.0,0.0,-15.0,37.0,1.0,entropy_coef=0.0003,42,100,optimizer.Entropy_Coef=0.0003,6.588532045916691
111376.015625,-1573625.25,52379.3984375,-1569304.0,112118.96875,-742.953125,-4321.25,0.0,-5.0,5.0,0.9990234375,entropy_coef=0.003,42,100,optimizer.Entropy_Coef=0.003,7.107187685150044
-20816.66015625,-1637144.5,-12344.42578125,-1569304.0,112118.96875,-132935.62890625,-67840.5,0.0,-50.0,141.0,1.0,learning_rate=0.001,42,100,optimizer.Learning_Rate=0.001,7.383271243883367
112105.78125,-1569304.0,48473.955078125,-1569304.0,112118.96875,-13.1875,0.0,0.0,-6.0,6.0,0.025390625,post_deal_trade_penalty=2,42,100,objective.Post_Deal_Trade_Penalty=2,7.361910506233349
74553.75,-1377858.25,55297.87890625,-1569304.0,112118.96875,-37565.21875,191445.75,0.0,-50.0,143.0,1.0,post_deal_trade_penalty=5,42,100,objective.Post_Deal_Trade_Penalty=5,7.462964795449989
126818.1171875,-1362219.125,91961.44921875,-1569304.0,112118.96875,14699.1484375,207084.875,0.0,-29.0,70.0,0.400390625,value_coef=0.05,42,100,optimizer.Value_Coef=0.05,7.396646154100017
2443.8525390625,-1466482.125,-27686.830078125,-1569304.0,112118.96875,-109675.1162109375,102821.875,0.0,-15.0,41.0,1.0,value_coef=0.2,42,100,optimizer.Value_Coef=0.2,7.123784352833294
