policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
textbook,worst,280,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,-50.000000,-50.000000,5117672.500000,2558.835938,-5117672.500000,2070.749756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5117672.500000,5117672.500000,2558.835938,-2558.835938,4854.181641,2295.345703
textbook,worst,280,2026-04-11,2072.044434,10.000000,2076.798096,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2101.292480,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5253231.000000,2127.617432,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5253231.000000,5117672.500000,2558.835938,-138117.343750,41686.687500,-96430.656250
textbook,worst,280,2026-04-12,2077.420166,10.000000,2057.955566,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2080.181885,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5200454.500000,2103.931885,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5200454.500000,5117672.500000,2558.835938,-85340.835938,55632.871094,-29707.964844
textbook,worst,280,2026-04-13,2015.847778,10.000000,1987.483765,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2008.327637,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5020819.000000,2031.139282,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5020819.000000,5117672.500000,2558.835938,94294.664062,-95690.367188,-1395.703125
textbook,worst,280,2026-04-14,2049.023926,10.000000,2041.416870,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2062.402100,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5156005.000000,2084.982910,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5156005.000000,5117672.500000,2558.835938,-40891.335938,-12481.503906,-53372.839844
textbook,worst,280,2026-04-15,2026.106079,10.000000,2056.451904,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2076.072998,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5190182.500000,2097.219971,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5190182.500000,5117672.500000,2558.835938,-75068.835938,-57196.089844,-132264.921875
textbook,worst,280,2026-04-16,2023.578369,10.000000,2037.112915,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2057.649658,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5144124.000000,2078.821045,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5144124.000000,5117672.500000,2558.835938,-29010.335938,-63366.691406,-92377.031250
textbook,worst,280,2026-04-17,1990.611328,10.000000,1971.606445,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1993.943726,50.000000,-50.000000,0.000000,-0.000000,0.000000,-4984859.500000,2015.881226,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4984859.500000,5117672.500000,2558.835938,130254.164062,-146170.734375,-15916.570312
textbook,worst,280,2026-04-18,1965.243896,10.000000,1951.500000,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1974.081177,50.000000,-50.000000,0.000000,-0.000000,0.000000,-4935203.000000,1995.957642,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4935203.000000,5117672.500000,2558.835938,179910.656250,-208982.921875,-29072.265625
textbook,worst,280,2026-04-19,1983.916626,10.000000,1977.651367,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1998.025269,50.000000,-50.000000,0.000000,-0.000000,0.000000,-4995063.500000,2017.120239,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4995063.500000,5117672.500000,2558.835938,120050.164062,-161562.218750,-41512.054688
textbook,worst,280,2026-04-20,2007.906494,10.000000,2003.956299,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2023.359009,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5058397.500000,2040.768555,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5058397.500000,5117672.500000,2558.835938,56716.164062,-99106.203125,-42390.039062
textbook,worst,280,2026-04-21,2017.181519,10.000000,2004.029419,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2023.570923,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5058927.500000,2041.125732,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5058927.500000,5117672.500000,2558.835938,56186.164062,-63764.058594,-7577.894531
