policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
textbook,worst,15180,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,-50.000000,-50.000000,5117672.500000,2558.835938,-5117672.500000,2070.749756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5117672.500000,5117672.500000,2558.835938,-2558.835938,29559.361328,27000.525391
textbook,worst,15180,2026-04-11,2123.109131,10.000000,2118.197266,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2141.029541,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5352574.000000,2164.919678,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5352574.000000,5117672.500000,2558.835938,-237460.343750,201179.015625,-36281.328125
textbook,worst,15180,2026-04-12,2138.891846,10.000000,2129.706787,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2151.267822,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5378169.500000,2173.981445,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5378169.500000,5117672.500000,2558.835938,-263055.843750,249955.703125,-13100.140625
textbook,worst,15180,2026-04-13,2125.900146,10.000000,2109.629395,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2133.327637,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5333319.000000,2156.538818,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5333319.000000,5117672.500000,2558.835938,-218205.343750,212129.656250,-6075.687500
textbook,worst,15180,2026-04-14,2149.716797,10.000000,2124.738525,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2148.825928,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5372065.000000,2171.410156,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5372065.000000,5117672.500000,2558.835938,-256951.343750,276205.218750,19253.875000
textbook,worst,15180,2026-04-15,2127.143311,10.000000,2115.713379,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2140.770264,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5351926.000000,2164.665527,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5351926.000000,5117672.500000,2558.835938,-236812.343750,223513.078125,-13299.265625
textbook,worst,15180,2026-04-16,2145.371826,10.000000,2143.689453,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2168.882568,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5422206.000000,2192.655518,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5422206.000000,5117672.500000,2558.835938,-307092.343750,277851.187500,-29241.156250
textbook,worst,15180,2026-04-17,2152.794189,10.000000,2144.944336,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2168.591797,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5421479.500000,2191.916260,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5421479.500000,5117672.500000,2558.835938,-306365.843750,301543.312500,-4822.531250
textbook,worst,15180,2026-04-18,2154.933594,10.000000,2158.238770,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2182.768799,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5456922.000000,2206.725342,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5456922.000000,5117672.500000,2558.835938,-341808.343750,315273.843750,-26534.500000
textbook,worst,15180,2026-04-19,2165.552734,10.000000,2162.191406,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2187.708496,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5469271.000000,2211.913086,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5469271.000000,5117672.500000,2558.835938,-354157.343750,340156.812500,-14000.531250
textbook,worst,15180,2026-04-20,2182.330322,10.000000,2190.035156,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2213.205078,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5533012.500000,2236.645752,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5533012.500000,5117672.500000,2558.835938,-417898.843750,386612.562500,-31286.281250
textbook,worst,15180,2026-04-21,2146.310059,10.000000,2132.666504,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2154.223877,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5385560.000000,2176.598389,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5385560.000000,5117672.500000,2558.835938,-270446.343750,294183.031250,23736.687500
textbook,worst,15180,2026-04-22,2151.330811,10.000000,2143.478516,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2164.910645,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5412276.500000,2187.288574,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5412276.500000,5117672.500000,2558.835938,-297162.843750,310970.531250,13807.687500
textbook,worst,15180,2026-04-23,2161.971436,10.000000,2182.484619,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2204.983154,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5512458.000000,2227.696045,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5512458.000000,5117672.500000,2558.835938,-397344.343750,342572.812500,-54771.531250
textbook,worst,15180,2026-04-24,2115.901123,10.000000,2109.455811,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2130.330322,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5325826.000000,2150.726074,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5325826.000000,5117672.500000,2558.835938,-210712.343750,228461.578125,17749.234375
textbook,worst,15180,2026-04-25,2113.935791,10.000000,2112.607422,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2131.694092,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5329235.000000,2150.076904,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5329235.000000,5117672.500000,2558.835938,-214121.343750,231634.375000,17513.031250
textbook,worst,15180,2026-04-26,2139.481445,10.000000,2159.997070,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2179.633789,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5449084.500000,2198.567871,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5449084.500000,5117672.500000,2558.835938,-333970.843750,297302.218750,-36668.625000
textbook,worst,15180,2026-04-27,2163.743164,10.000000,2176.891602,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2197.790527,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5494476.000000,2218.776367,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5494476.000000,5117672.500000,2558.835938,-379362.343750,358564.875000,-20797.468750
textbook,worst,15180,2026-04-28,2171.784180,10.000000,2176.404541,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2197.470947,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5493677.500000,2219.730713,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5493677.500000,5117672.500000,2558.835938,-378563.843750,377395.562500,-1168.281250
textbook,worst,15180,2026-04-29,2140.698730,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2169.872070,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5424680.000000,2192.950439,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5424680.000000,5117672.500000,2558.835938,-309566.343750,298819.875000,-10746.468750
textbook,worst,15180,2026-04-30,2169.121338,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2230.638428,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5576596.000000,2253.996826,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5576596.000000,5117672.500000,2558.835938,-461482.343750,371817.250000,-89665.093750
textbook,worst,15180,2026-05-01,2164.935303,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2192.498047,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5481245.500000,2214.569824,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5481245.500000,5117672.500000,2558.835938,-366131.843750,361407.531250,-4724.312500
textbook,worst,15180,2026-05-02,2146.654053,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2167.814941,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5419537.500000,2190.589355,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5419537.500000,5117672.500000,2558.835938,-304423.843750,319612.281250,15188.437500
textbook,worst,15180,2026-05-03,2158.066895,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2149.397217,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5373493.000000,2171.564941,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5373493.000000,5117672.500000,2558.835938,-258379.343750,339770.437500,81391.093750
textbook,worst,15180,2026-05-04,2145.803711,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2117.989990,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5294975.000000,2140.667969,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5294975.000000,5117672.500000,2558.835938,-179861.343750,303784.187500,123922.843750
textbook,worst,15180,2026-05-05,2192.049316,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2210.104248,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5525260.500000,2234.239990,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5525260.500000,5117672.500000,2558.835938,-410146.843750,417464.218750,7317.375000
textbook,worst,15180,2026-05-06,2177.986084,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2204.519775,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5511299.500000,2227.400635,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5511299.500000,5117672.500000,2558.835938,-396185.843750,375578.718750,-20607.125000
textbook,worst,15180,2026-05-07,2196.681641,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2200.548584,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5501371.500000,2222.046387,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5501371.500000,5117672.500000,2558.835938,-386257.843750,424683.031250,38425.187500
textbook,worst,15180,2026-05-08,2197.744873,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2225.417480,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5563544.000000,2250.286377,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5563544.000000,5117672.500000,2558.835938,-448430.343750,427123.125000,-21307.218750
textbook,worst,15180,2026-05-09,2214.397949,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2220.106689,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5550267.000000,2243.641357,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5550267.000000,5117672.500000,2558.835938,-435153.343750,464849.187500,29695.843750
textbook,worst,15180,2026-05-10,2245.720215,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2259.466309,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5648665.500000,2281.602539,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5648665.500000,5117672.500000,2558.835938,-533551.812500,540182.562500,6630.750000
textbook,worst,15180,2026-05-11,2262.800537,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2280.114502,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5700286.500000,2300.990234,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5700286.500000,5117672.500000,2558.835938,-585172.812500,579400.562500,-5772.250000
textbook,worst,15180,2026-05-12,2254.801270,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2266.669434,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5666673.500000,2280.727051,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5666673.500000,5117672.500000,2558.835938,-551559.812500,563369.562500,11809.750000
textbook,worst,15180,2026-05-13,2178.625732,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2162.302490,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5405756.000000,2177.377197,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5405756.000000,5117672.500000,2558.835938,-290642.343750,375234.375000,84592.031250
textbook,worst,15180,2026-05-14,2199.495605,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2185.607422,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5464019.000000,2201.794678,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5464019.000000,5117672.500000,2558.835938,-348905.343750,430461.656250,81556.312500
textbook,worst,15180,2026-05-15,2173.049072,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2182.999268,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5457498.000000,2203.374756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5457498.000000,5117672.500000,2558.835938,-342384.343750,370573.656250,28189.312500
textbook,worst,15180,2026-05-16,2168.622803,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2181.693604,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5454234.000000,2203.735596,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5454234.000000,5117672.500000,2558.835938,-339120.343750,362347.000000,23226.656250
textbook,worst,15180,2026-05-17,2195.001953,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2214.567627,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5536419.000000,2237.997559,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5536419.000000,5117672.500000,2558.835938,-421305.343750,430881.531250,9576.187500
textbook,worst,15180,2026-05-18,2194.115723,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2184.270020,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5460675.000000,2207.049072,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5460675.000000,5117672.500000,2558.835938,-345561.343750,427873.812500,82312.468750
textbook,worst,15180,2026-05-19,2180.642090,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2194.355957,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5485890.000000,2217.467773,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5485890.000000,5117672.500000,2558.835938,-370776.343750,392352.625000,21576.281250
textbook,worst,15180,2026-05-20,2158.908936,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2182.704590,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5456761.500000,2208.893311,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5456761.500000,5117672.500000,2558.835938,-341647.843750,334443.625000,-7204.218750
textbook,worst,15180,2026-05-21,2128.150879,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2135.121338,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5337803.500000,2163.352051,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5337803.500000,5117672.500000,2558.835938,-222689.843750,253726.500000,31036.656250
textbook,worst,15180,2026-05-22,2113.979004,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2126.139160,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5315348.000000,2151.610107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5315348.000000,5117672.500000,2558.835938,-200234.343750,221929.562500,21695.218750
textbook,worst,15180,2026-05-23,2118.916992,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2127.327881,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5318319.500000,2151.762451,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5318319.500000,5117672.500000,2558.835938,-203205.843750,238215.406250,35009.562500
textbook,worst,15180,2026-05-24,2078.337646,10.000000,2149.360107,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2092.468506,50.000000,-50.000000,0.000000,-0.000000,0.000000,-5231171.000000,2117.619141,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-5231171.000000,5117672.500000,2558.835938,-116057.335938,135522.921875,19465.585938
