strike,moneyness,net_mean,net_std,net_min,net_p5,net_p25,net_p50,net_p75,net_p95,net_max,liab_mean,liab_std,hedge_pnl_mean,hedge_pnl_std,hedge_efficiency
2045.00,-10.00,91277.67,19853.26,22697.88,56998.02,79247.36,92267.29,104072.30,122853.89,161532.88,142829.25,613216.88,-51551.57,619984.12,0.97
2047.00,-8.00,86277.67,19853.26,17697.88,51998.02,74247.36,87267.29,99072.32,117853.89,156532.88,137829.25,613216.88,-51551.57,619984.12,0.97
2049.00,-6.00,81277.67,19853.26,12697.88,46998.02,69247.36,82267.29,94072.32,112853.89,151532.88,132829.25,613216.88,-51551.57,619984.12,0.97
2051.00,-4.00,76277.67,19853.26,7697.88,41998.02,64247.36,77267.29,89072.32,107853.89,146532.88,127829.25,613216.88,-51551.57,619984.12,0.97
2053.00,-2.00,71277.67,19853.26,2697.88,36998.02,59247.36,72267.29,84072.32,102853.89,141532.88,122829.25,613216.88,-51551.57,619984.12,0.97
2055.00,0.00,66277.67,19853.26,-2302.12,31998.02,54247.36,67267.29,79072.32,97853.89,136532.88,117829.25,613216.88,-51551.57,619984.12,0.97
2057.00,2.00,61277.67,19853.26,-7302.12,26998.02,49247.36,62267.29,74072.32,92853.89,131532.88,112829.25,613216.88,-51551.57,619984.12,0.97
2059.00,4.00,56277.67,19853.26,-12302.12,21998.02,44247.36,57267.29,69072.32,87853.89,126532.88,107829.25,613216.88,-51551.57,619984.12,0.97
2061.00,6.00,51277.67,19853.26,-17302.12,16998.02,39247.36,52267.29,64072.32,82853.89,121532.88,102829.25,613216.88,-51551.57,619984.12,0.97
2063.00,8.00,46277.68,19853.26,-22302.12,11998.02,34247.36,47267.29,59072.32,77853.89,116532.88,97829.25,613216.88,-51551.57,619984.12,0.97
2065.00,10.00,41277.67,19853.26,-27302.12,6998.02,29247.36,42267.29,54072.32,72853.89,111532.88,92829.25,613216.88,-51551.57,619984.12,0.97
