month,fence,band,seed,u_mean,ew,p5,cvar5
202001,b040,0.4,101,0.1367088258266449,81703.453125,-28268.7734375,-62409.625
202001,b060,0.6,101,0.13537880778312683,85851.6640625,-61537.2734375,-102640.7421875
202001,free,,101,0.110096774995327,94316.6171875,-132510.640625,-192005.21875
202002,b040,0.4,101,0.029208652675151825,35373.984375,-105663.515625,-137887.21875
202002,b060,0.6,101,0.022728178650140762,42486.4765625,-135562.0,-178840.71875
202002,free,,101,-0.005749180912971497,55677.64453125,-184003.609375,-255000.15625
202003,b040,0.4,101,-0.0694630891084671,-10119.166015625,-133201.515625,-163124.859375
202003,b060,0.6,101,-0.09149748086929321,-6405.66015625,-166876.546875,-207595.0625
202003,free,,101,-0.12011678516864777,1469.3746337890625,-205124.546875,-263005.28125
202004,b040,0.4,101,-0.03211349621415138,-16891.49609375,-114886.171875,-138758.53125
202004,b060,0.6,101,-0.04088173434138298,-18227.1484375,-141856.703125,-171446.140625
202004,free,,101,-0.055836815387010574,-19034.95703125,-177585.796875,-225023.453125
202005,b040,0.4,101,0.17925164103507996,118228.921875,6151.13671875,-21486.755859375
202005,b060,0.6,101,0.1783687025308609,119914.078125,-23880.873046875,-65541.0703125
202005,free,,101,0.16360972821712494,122202.078125,-98464.7578125,-151325.625
202006,b040,0.4,101,0.27473145723342896,193215.8125,69460.6484375,32219.384765625
202006,b060,0.6,101,0.27703672647476196,195455.375,25110.177734375,-19256.599609375
202006,free,,101,0.26954662799835205,200071.71875,-83991.6171875,-139221.59375
202007,b040,0.4,101,0.12832477688789368,65965.4765625,-7363.83935546875,-45781.4140625
202007,b060,0.6,101,0.12459751963615417,65954.125,-26619.6640625,-70015.6484375
202007,free,,101,0.10255730152130127,66042.5,-75830.8046875,-136174.90625
202008,b040,0.4,101,0.16590836644172668,115842.625,-10842.388671875,-45805.57421875
202008,b040,0.4,202,0.16971153020858765,118260.375,-16460.224609375,-45265.7109375
202008,b040,0.4,303,0.16716772317886353,117128.0390625,-13729.474609375,-51916.3125
202008,b060,0.6,101,0.16623851656913757,119245.5546875,-45611.48046875,-87663.7265625
202008,b060,0.6,202,0.16956819593906403,121544.453125,-48760.2265625,-91153.8671875
202008,b060,0.6,303,0.16559958457946777,120308.1171875,-44002.05859375,-102187.171875
202008,free,,101,0.13863490521907806,121430.640625,-127135.2578125,-194359.703125
202008,free,,202,0.1511823534965515,128271.125,-126019.1171875,-188393.40625
202008,free,,303,0.1411394625902176,126064.421875,-141387.15625,-212683.34375
202009,b040,0.4,101,0.12737318873405457,87927.796875,-27685.158203125,-71090.6875
202009,b060,0.6,101,0.122658871114254,89105.359375,-62190.3671875,-112734.2265625
202009,free,,101,0.09834308177232742,92693.46875,-134542.625,-197901.109375
202010,b040,0.4,101,0.10744669288396835,80462.7265625,-11330.4287109375,-44024.57421875
202010,b060,0.6,101,0.10477226227521896,80170.1953125,-30365.865234375,-71841.265625
202010,free,,101,0.09527336061000824,81577.484375,-83680.234375,-138423.984375
202011,b040,0.4,101,0.04506921023130417,44279.5625,-102620.8828125,-152404.90625
202011,b040,0.4,202,0.042680732905864716,45025.9453125,-101383.546875,-160806.5
202011,b040,0.4,303,0.04573851823806763,44801.19921875,-100124.28125,-154699.15625
202011,b060,0.6,101,0.029721040278673172,47034.4453125,-127821.4375,-188392.46875
202011,b060,0.6,202,0.02490263245999813,47920.4765625,-133531.3125,-199868.484375
202011,b060,0.6,303,0.030191343277692795,47715.13671875,-133133.875,-191168.0625
202011,free,,101,-0.012927388772368431,51065.7421875,-182228.578125,-247028.15625
