tag,greedy,nohedge,bound,passed,churn,prior,delta
202101,-19.53,142.05,758.24,True,,27.18,-46.71
202102,170.24,123.87,765.09,True,350.0,36.87,133.37
202103,-69.22,-73.18,751.02,True,387.5,-36.37,-32.85
202104,-25.44,-84.43,765.31,True,312.5,214.8,-240.24
202105,-93.42,-198.15,768.28,True,,-166.14,72.71999999999998
202106,-106.79,-196.08,808.98,True,250.0,41.43,-148.22
202107,1.87,-35.61,691.04,True,662.5,-98.03,99.9
202108,82.83,-5.65,730.94,True,337.5,154.02,-71.19000000000001
202109,42.78,-54.74,631.75,True,387.5,-2.33,45.11
202110,37.64,34.96,605.85,True,600.0,-17.81,55.45
202111,77.07,37.89,607.29,True,150.0,-45.11,122.17999999999999
202112,238.05,108.13,649.35,True,187.5,183.32,54.73000000000002
202201,-27.34,14.59,657.46,True,318.8,38.61,-65.95
202202,32.11,-53.3,671.06,True,350.0,-138.42,170.52999999999997
202203,20.21,-99.72,764.6,True,456.2,117.93,-97.72
202204,-49.99,-115.68,647.84,True,537.5,-16.26,-33.730000000000004
202205,102.65,-0.87,687.6,True,150.0,38.67,63.980000000000004
202206,-66.45,-74.35,661.69,True,437.5,27.02,-93.47
202207,-87.74,10.84,619.8,True,537.5,-87.55,-0.18999999999999773
202208,18.78,99.31,636.88,True,300.0,22.1,-3.3200000000000003
202209,-39.15,167.5,608.84,True,462.5,-8.46,-30.689999999999998
202210,152.21,207.83,675.46,True,250.0,78.22,73.99000000000001
202211,44.44,43.84,654.87,True,300.0,-5.4,49.839999999999996
202212,-13.97,-59.89,678.57,True,225.0,78.21,-92.17999999999999
