world,tag,band,greedy,nohedge,bound,pas,churn,breaches
GARCH,202001,0.15,18.3,-194.35,810.1,True,81.2,0
GARCH,202002,0.15,-42.66,-172.13,892.94,True,125.0,0
GARCH,202003,0.15,-22.34,-49.94,845.94,True,93.8,0
GARCH,202004,0.15,-12.78,135.4,628.43,True,281.2,0
GARCH,202005,0.15,59.95,169.58,746.71,True,131.2,0
GARCH,202006,0.15,89.05,87.3,751.38,True,37.5,0
GARCH,202007,0.15,38.0,62.96,699.5,True,268.8,0
GARCH,202008,0.15,3.92,1.36,637.15,True,168.8,0
GARCH,202009,0.15,16.23,89.72,605.54,True,175.0,0
GARCH,202010,0.15,25.59,210.46,625.76,True,68.8,0
GARCH,202011,0.15,71.85,352.15,685.55,True,137.5,0
GARCH,202012,0.15,53.7,213.82,708.43,True,87.5,0
GARCH,202101,0.15,20.39,142.05,758.24,True,437.5,0
GARCH,202102,0.15,70.96,123.87,765.09,True,162.5,0
GARCH,202103,0.15,11.29,-73.18,751.02,True,50.0,0
GARCH,202104,0.15,53.53,-84.43,765.31,True,356.2,0
GARCH,202105,0.15,1.27,-198.15,768.28,True,62.5,0
GARCH,202106,0.15,21.64,-196.08,808.98,True,93.8,0
GARCH,202107,0.15,12.05,-35.61,691.04,True,443.8,0
GARCH,202108,0.15,25.71,-5.65,730.94,True,187.5,0
GARCH,202109,0.15,9.11,-54.74,631.75,True,150.0,0
GARCH,202110,0.15,14.35,34.96,605.85,True,281.2,0
GARCH,202111,0.15,-9.01,37.89,607.29,True,212.5,0
GARCH,202112,0.15,16.67,108.13,649.35,True,450.0,0
GARCH,202201,0.15,-0.75,14.59,657.46,True,218.8,0
GARCH,202202,0.15,5.02,-53.3,671.06,True,137.5,0
GARCH,202203,0.15,5.72,-99.72,764.6,True,518.8,0
GARCH,202204,0.15,-15.39,-115.68,647.84,True,543.8,0
GARCH,202205,0.15,44.75,-0.87,687.6,True,156.2,0
GARCH,202206,0.15,31.83,-74.35,661.69,True,593.8,0
GARCH,202207,0.15,-57.68,10.84,619.8,True,462.5,0
GARCH,202208,0.15,-6.74,99.31,636.88,True,187.5,0
GARCH,202209,0.15,-19.29,167.5,608.84,True,237.5,0
GARCH,202210,0.15,62.29,207.83,675.46,True,325.0,0
GARCH,202211,0.15,98.17,43.84,654.87,True,343.8,0
GARCH,202212,0.15,8.78,-59.89,678.57,True,412.5,0
GARCH,202301,0.15,43.36,24.47,607.03,True,331.2,0
GARCH,202302,0.15,5.73,61.45,625.74,True,468.8,0
GARCH,202303,0.15,25.19,12.24,594.21,True,137.5,0
GARCH,202304,0.15,5.83,-41.09,580.73,True,325.0,0
GARCH,202305,0.15,17.96,-141.85,590.67,True,400.0,0
GARCH,202306,0.15,14.81,-80.88,559.36,True,325.0,0
GARCH,202307,0.15,-1.53,-10.19,456.39,True,325.0,0
GARCH,202308,0.15,36.25,-28.36,535.92,True,331.2,0
GARCH,202309,0.15,-14.93,-32.55,548.63,True,325.0,0
GARCH,202310,0.15,2.57,21.05,516.71,True,325.0,0
GARCH,202311,0.15,1.17,-30.98,568.83,True,137.5,0
GARCH,202312,0.15,-4.69,-24.23,526.54,True,325.0,0
GARCH,202001,0.25,-32.61,-194.35,810.1,True,125.0,0
GARCH,202002,0.25,-55.94,-172.13,892.94,True,112.5,0
GARCH,202003,0.25,-30.86,-49.94,845.94,True,87.5,0
GARCH,202004,0.25,-11.05,135.4,628.43,True,212.5,0
GARCH,202005,0.25,76.55,169.58,746.71,True,112.5,0
GARCH,202006,0.25,94.24,87.3,751.38,True,37.5,0
GARCH,202007,0.25,44.28,62.96,699.5,True,262.5,0
GARCH,202008,0.25,-7.6,1.36,637.15,True,200.0,0
GARCH,202009,0.25,20.13,89.72,605.54,True,225.0,0
GARCH,202010,0.25,15.68,210.46,625.76,True,87.5,0
GARCH,202011,0.25,73.93,352.15,685.55,True,125.0,0
GARCH,202012,0.25,50.57,213.82,708.43,True,137.5,0
GARCH,202101,0.25,32.38,142.05,758.24,True,425.0,0
GARCH,202102,0.25,103.7,123.87,765.09,True,175.0,0
GARCH,202103,0.25,12.95,-73.18,751.02,True,87.5,0
GARCH,202104,0.25,58.8,-84.43,765.31,True,362.5,0
GARCH,202105,0.25,-21.78,-198.15,768.28,True,68.8,0
GARCH,202106,0.25,-0.24,-196.08,808.98,True,150.0,0
GARCH,202107,0.25,-2.32,-35.61,691.04,True,487.5,0
GARCH,202108,0.25,36.37,-5.65,730.94,True,150.0,0
GARCH,202109,0.25,4.62,-54.74,631.75,True,168.8,0
GARCH,202110,0.25,2.88,34.96,605.85,True,300.0,0
GARCH,202111,0.25,-12.54,37.89,607.29,True,212.5,0
GARCH,202112,0.25,49.5,108.13,649.35,True,425.0,0
GARCH,202201,0.25,8.33,14.59,657.46,True,262.5,0
GARCH,202202,0.25,-27.28,-53.3,671.06,True,162.5,0
GARCH,202203,0.25,14.44,-99.72,764.6,True,487.5,0
GARCH,202204,0.25,-28.44,-115.68,647.84,True,500.0,0
GARCH,202205,0.25,54.41,-0.87,687.6,True,162.5,0
GARCH,202206,0.25,12.99,-74.35,661.69,True,562.5,0
GARCH,202207,0.25,-54.05,10.84,619.8,True,437.5,0
GARCH,202208,0.25,3.31,99.31,636.88,True,181.2,0
GARCH,202209,0.25,-22.46,167.5,608.84,True,268.8,0
GARCH,202210,0.25,72.19,207.83,675.46,True,300.0,0
GARCH,202211,0.25,91.86,43.84,654.87,True,337.5,0
GARCH,202212,0.25,5.73,-59.89,678.57,True,375.0,0
GARCH,202301,0.25,29.35,24.47,607.03,True,312.5,0
GARCH,202302,0.25,1.73,61.45,625.74,True,437.5,0
GARCH,202303,0.25,51.91,12.24,594.21,True,125.0,0
GARCH,202304,0.25,21.95,-41.09,580.73,True,300.0,0
GARCH,202305,0.25,19.61,-141.85,590.67,True,425.0,0
GARCH,202306,0.25,10.43,-80.88,559.36,True,300.0,0
GARCH,202307,0.25,-0.17,-10.19,456.39,True,300.0,0
GARCH,202308,0.25,58.19,-28.36,535.92,True,312.5,0
GARCH,202309,0.25,-21.78,-32.55,548.63,True,300.0,0
GARCH,202310,0.25,12.84,21.05,516.71,True,300.0,0
GARCH,202311,0.25,-0.85,-30.98,568.83,True,125.0,0
GARCH,202312,0.25,-6.92,-24.23,526.54,True,300.0,0
GARCH,202001,0.3,-33.46,-194.35,810.1,True,125.0,0
GARCH,202002,0.3,-55.04,-172.13,892.94,True,112.5,0
GARCH,202003,0.3,-33.97,-49.94,845.94,True,100.0,0
GARCH,202004,0.3,-15.06,135.4,628.43,True,212.5,0
GARCH,202005,0.3,70.54,169.58,746.71,True,112.5,0
GARCH,202006,0.3,98.22,87.3,751.38,True,50.0,0
GARCH,202007,0.3,46.49,62.96,699.5,True,262.5,0
GARCH,202008,0.3,-13.71,1.36,637.15,True,200.0,0
GARCH,202009,0.3,14.84,89.72,605.54,True,250.0,0
GARCH,202010,0.3,15.76,210.46,625.76,True,87.5,0
GARCH,202011,0.3,71.11,352.15,685.55,True,125.0,0
GARCH,202012,0.3,43.62,213.82,708.43,True,150.0,0
GARCH,202101,0.3,32.86,142.05,758.24,True,425.0,0
GARCH,202102,0.3,106.04,123.87,765.09,True,187.5,0
GARCH,202103,0.3,24.49,-73.18,751.02,True,87.5,0
GARCH,202104,0.3,61.88,-84.43,765.31,True,362.5,0
GARCH,202105,0.3,-18.05,-198.15,768.28,True,93.8,0
GARCH,202106,0.3,0.41,-196.08,808.98,True,150.0,0
GARCH,202107,0.3,8.18,-35.61,691.04,True,487.5,0
GARCH,202108,0.3,43.31,-5.65,730.94,True,162.5,0
GARCH,202109,0.3,6.6,-54.74,631.75,True,162.5,0
GARCH,202110,0.3,-5.85,34.96,605.85,True,300.0,0
GARCH,202111,0.3,-18.73,37.89,607.29,True,212.5,0
GARCH,202112,0.3,59.65,108.13,649.35,True,450.0,0
GARCH,202201,0.3,4.03,14.59,657.46,True,268.8,0
GARCH,202202,0.3,-25.38,-53.3,671.06,True,137.5,0
GARCH,202203,0.3,12.08,-99.72,764.6,True,500.0,0
GARCH,202204,0.3,-28.64,-115.68,647.84,True,500.0,0
GARCH,202205,0.3,57.42,-0.87,687.6,True,175.0,0
