tag,arm,band,greedy,u_pre,pass,breaches,is_loser
202204,A_with_drift,free,-91.03,0.2769,True,,True
202204,A_with_drift,0.15,-15.39,0.8846,True,0.0,True
202204,B_driftless,free,-81.82,0.2962,True,,True
202204,B_driftless,0.15,-16.99,0.8865,True,0.0,True
202105,A_with_drift,free,-127.46,0.4192,True,,True
202105,A_with_drift,0.15,1.27,0.875,True,0.0,True
202105,B_driftless,free,-128.74,0.4615,True,,True
202105,B_driftless,0.15,2.6,0.875,True,0.0,True
202202,A_with_drift,free,-117.75,0.2305,True,,True
202202,A_with_drift,0.15,5.02,0.877,True,0.0,True
202202,B_driftless,free,-122.88,0.2773,True,,True
202202,B_driftless,0.15,5.02,0.877,True,0.0,True
202112,A_with_drift,free,218.71,0.541,True,,False
202112,A_with_drift,0.15,16.67,0.8965,True,0.0,False
202112,B_driftless,free,222.35,0.5527,True,,False
202112,B_driftless,0.15,16.67,0.8965,True,0.0,False
202001,A_with_drift,free,-94.52,0.3962,True,,True
202001,A_with_drift,0.15,18.3,0.9212,True,0.0,True
202001,B_driftless,free,-97.47,0.4135,True,,True
202001,B_driftless,0.15,25.78,0.9231,True,0.0,True
202106,A_with_drift,free,-98.49,0.4697,True,,True
202106,A_with_drift,0.15,21.64,0.8883,True,0.0,True
202106,B_driftless,free,-85.92,0.4981,True,,True
202106,B_driftless,0.15,26.07,0.8939,True,0.0,True
202102,A_with_drift,free,244.04,0.1692,True,,False
202102,A_with_drift,0.15,70.96,0.8962,True,0.0,False
202102,B_driftless,free,245.07,0.8308,True,,False
202102,B_driftless,0.15,69.8,0.9788,True,0.0,False
202011,A_with_drift,free,162.08,0.7942,True,,False
202011,A_with_drift,0.15,71.85,0.8769,True,0.0,False
202011,B_driftless,free,140.74,0.7769,True,,False
202011,B_driftless,0.15,71.85,0.8769,True,0.0,False
