trade,fair,strike,n_seeds,train_u,train_u_seeds,V_0,greedy_usd_oz,nohedge_usd_oz,pf_bound,bound_pass,churn,fresh_md,tag
202001,959.64,951.64,3,-0.5059,"[-0.5059, -0.4562, -0.4723]",-0.4858969449996948,-88.0,-194.35,810.1,True,200.0,,202001
202002,972.59,964.59,3,-0.4,"[-0.4, -0.365, -0.3977]",-0.4833776354789734,0.08,-172.13,892.94,True,193.8,,202002
202003,881.34,873.34,3,-0.7112,"[-0.7112, -0.6366, -0.6103]",-0.6843892335891724,-61.53,-49.94,845.94,True,300.0,,202003
202004,731.24,723.24,3,-0.3085,"[-0.3085, -0.2871, -0.2765]",-0.2255389392375946,89.39,135.4,628.43,True,131.2,,202004
202005,778.14,770.14,3,-0.2033,"[-0.2033, -0.1944, -0.1222]",-0.14289265871047974,203.44,169.58,746.71,True,50.0,,202005
202006,833.17,825.17,3,-0.0159,"[-0.0159, 0.0054, 0.0066]",0.05126795917749405,89.91,87.3,751.38,True,87.5,,202006
202007,822.27,814.27,3,-1.1425,"[-1.1425, -0.9328, -0.8528]",-0.8405797481536865,41.68,62.96,699.5,True,137.5,,202007
202008,914.26,906.26,3,-0.4132,"[-0.4132, -0.4773, -0.4107]",-0.4570887088775635,-103.2,1.36,637.15,True,225.0,,202008
202009,939.76,931.76,3,-0.6079,"[-0.6079, -0.652, -0.6121]",-0.5229669809341431,17.52,89.72,605.54,True,225.0,,202009
202010,886.71,878.71,3,-0.5083,"[-0.5083, -0.3866, -0.3828]",-0.34088557958602905,-9.17,210.46,625.76,True,106.2,,202010
202011,858.26,850.26,3,-0.4331,"[-0.4331, -0.3457, -0.5305]",-0.5576244592666626,161.03,352.15,685.55,True,112.5,,202011
202012,975.75,967.75,3,-0.3772,"[-0.3772, -0.3512, -0.4]",-0.41584330797195435,-10.65,213.82,708.43,True,356.2,,202012
202101,1069.18,1061.18,3,-0.5951,"[-0.5951, -0.6588, -0.5733]",-0.5547316670417786,-7.93,142.05,758.24,True,462.5,,202101
202102,1100.42,1092.42,3,0.0187,"[0.0187, 0.0265, 0.0493]",-0.054520368576049805,245.07,123.87,765.09,True,50.0,,202102
202103,1211.0,1203.0,3,-0.5036,"[-0.5036, -0.5302, -0.5365]",-0.5141028165817261,46.78,-73.18,751.02,True,168.8,,202103
202104,1180.55,1172.55,3,-0.3845,"[-0.3845, -0.3591, -0.34]",-0.26951873302459717,-14.63,-84.43,765.31,True,443.8,,202104
202105,1217.45,1209.45,3,-0.3128,"[-0.3128, -0.2574, -0.196]",-0.5016749501228333,-143.7,-198.15,768.28,True,237.5,,202105
202106,1180.7,1172.7,3,-0.4457,"[-0.4457, -0.4471, -0.398]",-0.37881460785865784,-102.29,-196.08,808.98,True,312.5,,202106
202107,1059.28,1051.28,3,-0.4724,"[-0.4724, -0.3637, -0.3476]",-0.3535783886909485,-48.45,-35.61,691.04,True,381.2,,202107
