tag,band,greedy,nohedge,bound,pass,churn,breaches
202001,0.25,-45.48,-194.35,810.1,True,112.5,0
202002,0.25,-58.95,-172.13,892.94,True,175.0,0
202003,0.25,-55.09,-49.94,845.94,True,112.5,0
202004,0.25,-7.05,135.4,628.43,True,212.5,0
202005,0.25,102.44,169.58,746.71,True,112.5,0
202006,0.25,87.65,87.3,751.38,True,50.0,0
202007,0.25,22.02,62.96,699.5,True,250.0,0
202008,0.25,-16.12,1.36,637.15,True,168.8,0
202009,0.25,22.39,89.72,605.54,True,187.5,0
202010,0.25,23.11,210.46,625.76,True,50.0,0
202011,0.25,59.78,352.15,685.55,True,150.0,0
202012,0.25,15.93,213.82,708.43,True,125.0,0
202101,0.25,19.9,142.05,758.24,True,450.0,0
202102,0.25,103.95,123.87,765.09,True,125.0,0
202103,0.25,16.78,-73.18,751.02,True,87.5,0
202104,0.25,51.63,-84.43,765.31,True,387.5,0
202105,0.25,-3.29,-198.15,768.28,True,75.0,0
202106,0.25,8.78,-196.08,808.98,True,87.5,0
202107,0.25,-0.31,-35.61,691.04,True,412.5,0
202108,0.25,42.84,-5.65,730.94,True,137.5,0
202109,0.25,5.47,-54.74,631.75,True,168.8,0
202110,0.25,24.83,34.96,605.85,True,262.5,0
202111,0.25,-1.39,37.89,607.29,True,225.0,0
202112,0.25,62.92,108.13,649.35,True,375.0,0
202201,0.25,17.05,14.59,657.46,True,225.0,0
202202,0.25,-13.41,-53.3,671.06,True,112.5,0
202203,0.25,16.45,-99.72,764.6,True,512.5,0
202204,0.25,-18.62,-115.68,647.84,True,537.5,0
202205,0.25,52.21,-0.87,687.6,True,162.5,0
202206,0.25,12.51,-74.35,661.69,True,587.5,0
202207,0.25,-66.21,10.84,619.8,True,500.0,0
202208,0.25,14.97,99.31,636.88,True,200.0,0
202209,0.25,-38.43,167.5,608.84,True,212.5,0
202210,0.25,72.19,207.83,675.46,True,300.0,0
202211,0.25,79.9,43.84,654.87,True,337.5,0
202212,0.25,5.73,-59.89,678.57,True,375.0,0
202301,0.25,28.24,24.47,607.03,True,312.5,0
202302,0.25,1.73,61.45,625.74,True,437.5,0
202303,0.25,51.91,12.24,594.21,True,125.0,0
202304,0.25,21.95,-41.09,580.73,True,300.0,0
202305,0.25,31.22,-141.85,590.67,True,437.5,0
202306,0.25,10.43,-80.88,559.36,True,300.0,0
202307,0.25,-0.32,-10.19,456.39,True,312.5,0
202308,0.25,40.38,-28.36,535.92,True,312.5,0
202309,0.25,-18.44,-32.55,548.63,True,300.0,0
202310,0.25,14.89,21.05,516.71,True,300.0,0
202311,0.25,1.84,-30.98,568.83,True,131.2,0
202312,0.25,9.44,-24.23,526.54,True,325.0,0
202001,0.40,-69.05,-194.35,810.1,True,143.8,0
202002,0.40,4.08,-172.13,892.94,True,218.8,0
202003,0.40,-72.18,-49.94,845.94,True,181.2,0
202004,0.40,-2.39,135.4,628.43,True,193.8,0
202005,0.40,131.7,169.58,746.71,True,93.8,0
202006,0.40,101.78,87.3,751.38,True,50.0,0
202007,0.40,32.52,62.96,699.5,True,231.2,0
202008,0.40,-45.17,1.36,637.15,True,175.0,0
202009,0.40,23.77,89.72,605.54,True,193.8,0
202010,0.40,-11.37,210.46,625.76,True,62.5,0
202011,0.40,62.21,352.15,685.55,True,187.5,0
202012,0.40,2.22,213.82,708.43,True,181.2,0
202101,0.40,24.56,142.05,758.24,True,450.0,0
202102,0.40,130.66,123.87,765.09,True,112.5,0
202103,0.40,33.46,-73.18,751.02,True,112.5,0
202104,0.40,51.37,-84.43,765.31,True,406.2,0
202105,0.40,-24.22,-198.15,768.28,True,118.8,0
202106,0.40,-10.64,-196.08,808.98,True,168.8,0
202107,0.40,-1.76,-35.61,691.04,True,393.8,0
202108,0.40,34.48,-5.65,730.94,True,162.5,0
202109,0.40,5.88,-54.74,631.75,True,162.5,0
202110,0.40,31.4,34.96,605.85,True,268.8,0
202111,0.40,-22.09,37.89,607.29,True,200.0,0
202112,0.40,110.27,108.13,649.35,True,350.0,0
202201,0.40,21.93,14.59,657.46,True,262.5,0
202202,0.40,-21.63,-53.3,671.06,True,137.5,0
202203,0.40,18.77,-99.72,764.6,True,493.8,0
202204,0.40,-36.1,-115.68,647.84,True,518.8,0
202205,0.40,66.88,-0.87,687.6,True,181.2,0
202206,0.40,10.86,-74.35,661.69,True,556.2,0
202207,0.40,-67.09,10.84,619.8,True,512.5,0
202208,0.40,32.58,99.31,636.88,True,218.8,0
202209,0.40,-31.85,167.5,608.84,True,225.0,0
202210,0.40,92.63,207.83,675.46,True,275.0,0
202211,0.40,66.65,43.84,654.87,True,331.2,0
202212,0.40,-0.12,-59.89,678.57,True,337.5,0
202301,0.40,13.5,24.47,607.03,True,293.8,0
202302,0.40,1.05,61.45,625.74,True,393.8,0
202303,0.40,89.43,12.24,594.21,True,112.5,0
202304,0.40,34.77,-41.09,580.73,True,275.0,0
202305,0.40,5.47,-141.85,590.67,True,437.5,0
202306,0.40,12.01,-80.88,559.36,True,275.0,0
202307,0.40,0.38,-10.19,456.39,True,287.5,0
202308,0.40,40.26,-28.36,535.92,True,293.8,0
202309,0.40,-25.93,-32.55,548.63,True,275.0,0
202310,0.40,30.33,21.05,516.71,True,275.0,0
202311,0.40,-2.04,-30.98,568.83,True,187.5,0
202312,0.40,20.6,-24.23,526.54,True,312.5,0
202001,0.60,-70.81,-194.35,810.1,True,175.0,0
202002,0.60,49.36,-172.13,892.94,True,212.5,0
202003,0.60,-102.22,-49.94,845.94,True,212.5,0
202004,0.60,39.48,135.4,628.43,True,175.0,0
202005,0.60,153.01,169.58,746.71,True,75.0,0
202006,0.60,116.23,87.3,751.38,True,50.0,0
202007,0.60,33.82,62.96,699.5,True,212.5,0
202008,0.60,-59.17,1.36,637.15,True,187.5,0
202009,0.60,27.01,89.72,605.54,True,200.0,0
202010,0.60,-8.92,210.46,625.76,True,68.8,0
202011,0.60,93.51,352.15,685.55,True,162.5,0
202012,0.60,-7.41,213.82,708.43,True,243.8,0
202101,0.60,20.28,142.05,758.24,True,450.0,0
202102,0.60,162.33,123.87,765.09,True,100.0,0
202103,0.60,40.16,-73.18,751.02,True,150.0,0
202104,0.60,81.47,-84.43,765.31,True,443.8,0
202105,0.60,-55.46,-198.15,768.28,True,150.0,0
202106,0.60,-50.0,-196.08,808.98,True,225.0,0
202107,0.60,1.46,-35.61,691.04,True,362.5,0
202108,0.60,75.51,-5.65,730.94,True,150.0,0
202109,0.60,-6.64,-54.74,631.75,True,225.0,0
202110,0.60,3.42,34.96,605.85,True,275.0,0
202111,0.60,-29.08,37.89,607.29,True,187.5,0
202112,0.60,151.0,108.13,649.35,True,325.0,0
202201,0.60,35.37,14.59,657.46,True,287.5,0
202202,0.60,-51.34,-53.3,671.06,True,150.0,0
202203,0.60,20.95,-99.72,764.6,True,462.5,0
202204,0.60,-31.3,-115.68,647.84,True,512.5,0
202205,0.60,86.88,-0.87,687.6,True,187.5,0
202206,0.60,9.57,-74.35,661.69,True,475.0,0
202207,0.60,-66.96,10.84,619.8,True,525.0,0
202208,0.60,41.91,99.31,636.88,True,275.0,0
202209,0.60,-4.88,167.5,608.84,True,343.8,0
202210,0.60,103.5,207.83,675.46,True,250.0,0
202211,0.60,56.65,43.84,654.87,True,325.0,0
202212,0.60,-3.95,-59.89,678.57,True,300.0,0
202301,0.60,-1.37,24.47,607.03,True,275.0,0
202302,0.60,-17.31,61.45,625.74,True,350.0,0
202303,0.60,121.49,12.24,594.21,True,100.0,0
202304,0.60,60.26,-41.09,580.73,True,250.0,0
202305,0.60,12.85,-141.85,590.67,True,425.0,0
202306,0.60,8.92,-80.88,559.36,True,250.0,0
202307,0.60,3.53,-10.19,456.39,True,275.0,0
202308,0.60,41.28,-28.36,535.92,True,275.0,0
202309,0.60,-30.87,-32.55,548.63,True,250.0,0
202310,0.60,30.73,21.05,516.71,True,250.0,0
202311,0.60,-3.52,-30.98,568.83,True,243.8,0
202312,0.60,28.28,-24.23,526.54,True,300.0,0
