tag,band,greedy,nohedge,bound,pass,churn,breaches
202001,0.4,-80.89,-194.35,810.1,True,68.8,0
202001,0.6,-76.95,-194.35,810.1,True,75.0,0
202002,0.4,-62.8,-172.13,892.94,True,100.0,0
202002,0.6,-81.23,-172.13,892.94,True,87.5,0
202003,0.4,-34.69,-49.94,845.94,True,81.2,0
202003,0.6,-19.23,-49.94,845.94,True,125.0,0
202004,0.4,-8.84,135.4,628.43,True,193.8,0
202004,0.6,9.08,135.4,628.43,True,175.0,0
202005,0.4,85.08,169.58,746.71,True,93.8,0
202005,0.6,96.98,169.58,746.71,True,75.0,0
202006,0.4,112.05,87.3,751.38,True,50.0,0
202006,0.6,129.74,87.3,751.38,True,50.0,0
202007,0.4,59.53,62.96,699.5,True,281.2,0
202007,0.6,62.43,62.96,699.5,True,312.5,0
202008,0.4,-14.78,1.36,637.15,True,225.0,0
202008,0.6,-11.36,1.36,637.15,True,262.5,0
202009,0.4,19.38,89.72,605.54,True,268.8,0
202009,0.6,22.96,89.72,605.54,True,300.0,0
202010,0.4,15.14,210.46,625.76,True,131.2,0
202010,0.6,11.17,210.46,625.76,True,150.0,0
202011,0.4,79.98,352.15,685.55,True,150.0,0
202011,0.6,110.62,352.15,685.55,True,150.0,0
202012,0.4,31.28,213.82,708.43,True,212.5,0
202012,0.6,21.57,213.82,708.43,True,281.2,0
202101,0.4,11.7,142.05,758.24,True,450.0,0
202101,0.6,11.45,142.05,758.24,True,450.0,0
202102,0.4,131.4,123.87,765.09,True,200.0,0
202102,0.6,162.95,123.87,765.09,True,212.5,0
202103,0.4,35.37,-73.18,751.02,True,112.5,0
202103,0.6,39.42,-73.18,751.02,True,162.5,0
202104,0.4,62.71,-84.43,765.31,True,368.8,0
202104,0.6,87.23,-84.43,765.31,True,400.0,0
202105,0.4,-49.31,-198.15,768.28,True,106.2,0
202105,0.6,-81.43,-198.15,768.28,True,143.8,0
202106,0.4,-21.15,-196.08,808.98,True,168.8,0
202106,0.6,-55.97,-196.08,808.98,True,225.0,0
202107,0.4,-5.27,-35.61,691.04,True,481.2,0
202107,0.6,-7.22,-35.61,691.04,True,450.0,0
202108,0.4,56.12,-5.65,730.94,True,162.5,0
202108,0.6,76.71,-5.65,730.94,True,125.0,0
202109,0.4,7.22,-54.74,631.75,True,156.2,0
202109,0.6,-14.9,-54.74,631.75,True,225.0,0
202110,0.4,-3.76,34.96,605.85,True,306.2,0
202110,0.6,-5.77,34.96,605.85,True,325.0,0
202111,0.4,-30.59,37.89,607.29,True,200.0,0
202111,0.6,-38.55,37.89,607.29,True,175.0,0
202112,0.4,110.27,108.13,649.35,True,350.0,0
202112,0.6,151.0,108.13,649.35,True,325.0,0
202201,0.4,16.2,14.59,657.46,True,312.5,0
202201,0.6,18.09,14.59,657.46,True,343.8,0
202202,0.4,-45.77,-53.3,671.06,True,125.0,0
202202,0.6,-61.34,-53.3,671.06,True,150.0,0
202203,0.4,17.02,-99.72,764.6,True,456.2,0
202203,0.6,16.72,-99.72,764.6,True,425.0,0
202204,0.4,-41.9,-115.68,647.84,True,431.2,0
202204,0.6,-50.35,-115.68,647.84,True,387.5,0
202205,0.4,57.57,-0.87,687.6,True,181.2,0
202205,0.6,90.37,-0.87,687.6,True,162.5,0
202206,0.4,11.08,-74.35,661.69,True,518.8,0
202206,0.6,20.72,-74.35,661.69,True,450.0,0
202207,0.4,-48.4,10.84,619.8,True,412.5,0
202207,0.6,-44.61,10.84,619.8,True,393.8,0
202208,0.4,38.48,99.31,636.88,True,212.5,0
202208,0.6,50.62,99.31,636.88,True,250.0,0
202209,0.4,-23.53,167.5,608.84,True,287.5,0
202209,0.6,-5.17,167.5,608.84,True,275.0,0
202210,0.4,92.63,207.83,675.46,True,275.0,0
202210,0.6,103.5,207.83,675.46,True,250.0,0
202211,0.4,85.59,43.84,654.87,True,331.2,0
202211,0.6,81.57,43.84,654.87,True,325.0,0
202212,0.4,-0.12,-59.89,678.57,True,337.5,0
202212,0.6,-3.95,-59.89,678.57,True,300.0,0
202301,0.4,15.26,24.47,607.03,True,293.8,0
202301,0.6,0.94,24.47,607.03,True,275.0,0
202302,0.4,1.05,61.45,625.74,True,393.8,0
202302,0.6,-6.45,61.45,625.74,True,337.5,0
202303,0.4,89.43,12.24,594.21,True,112.5,0
202303,0.6,121.49,12.24,594.21,True,100.0,0
202304,0.4,34.77,-41.09,580.73,True,275.0,0
202304,0.6,60.26,-41.09,580.73,True,250.0,0
202305,0.4,27.58,-141.85,590.67,True,437.5,0
202305,0.6,25.71,-141.85,590.67,True,437.5,0
202306,0.4,12.01,-80.88,559.36,True,275.0,0
202306,0.6,8.92,-80.88,559.36,True,250.0,0
202307,0.4,-3.63,-10.19,456.39,True,275.0,0
202307,0.6,-3.17,-10.19,456.39,True,262.5,0
202308,0.4,47.2,-28.36,535.92,True,293.8,0
202308,0.6,48.22,-28.36,535.92,True,275.0,0
202309,0.4,-29.27,-32.55,548.63,True,275.0,0
202309,0.6,-34.21,-32.55,548.63,True,250.0,0
202310,0.4,30.33,21.05,516.71,True,275.0,0
202310,0.6,30.73,21.05,516.71,True,250.0,0
202311,0.4,-1.57,-30.98,568.83,True,175.0,0
202311,0.6,-3.86,-30.98,568.83,True,150.0,0
202312,0.4,9.93,-24.23,526.54,True,300.0,0
202312,0.6,32.01,-24.23,526.54,True,312.5,0
