tag,trade,spot_model,fair,strike,n_seeds,market_dim,train_u,V_0,greedy_usd_oz,nohedge_usd_oz,pf_bound,bound_pass,churn
202001,202001,garch,959.64,951.64,3,7,-0.3841,-0.36125558614730835,-94.52,-194.35,810.1,True,125.0
202002,202002,garch,972.59,964.59,3,7,-0.351,-0.4024149477481842,-47.71,-172.13,892.94,True,112.5
202003,202003,garch,881.34,873.34,3,7,-0.6339,-0.6039732694625854,-31.43,-49.94,845.94,True,243.8
202004,202004,garch,731.24,723.24,3,7,-0.3645,-0.3115214705467224,49.13,135.4,628.43,True,218.8
202005,202005,garch,778.14,770.14,3,7,-0.1869,-0.26676416397094727,144.44,169.58,746.71,True,62.5
202006,202006,garch,833.17,825.17,3,7,-0.1207,-0.08553402125835419,90.91,87.3,751.38,True,181.2
202007,202007,garch,822.27,814.27,3,7,-0.6691,-0.6445111036300659,62.95,62.96,699.5,True,306.2
202008,202008,garch,914.26,906.26,3,7,-0.3102,-0.3594949245452881,-18.75,1.36,637.15,True,262.5
202009,202009,garch,939.76,931.76,3,7,-0.4703,-0.44086527824401855,26.24,89.72,605.54,True,412.5
202010,202010,garch,886.71,878.71,3,7,-0.3938,-0.35552144050598145,8.38,210.46,625.76,True,187.5
202011,202011,garch,858.26,850.26,3,7,-0.3445,-0.4951605498790741,162.08,352.15,685.55,True,193.8
202012,202012,garch,975.75,967.75,3,7,-0.2668,-0.29755038022994995,32.61,213.82,708.43,True,375.0
202101,202101,garch,1069.18,1061.18,3,7,-0.4744,-0.45012781023979187,-2.79,142.05,758.24,True,512.5
202102,202102,garch,1100.42,1092.42,3,7,0.0574,-0.014714119955897331,244.04,123.87,765.09,True,250.0
202103,202103,garch,1211.0,1203.0,3,7,-0.4905,-0.4848952293395996,60.54,-73.18,751.02,True,150.0
202104,202104,garch,1180.55,1172.55,3,7,-0.438,-0.3467833995819092,-11.61,-84.43,765.31,True,375.0
202105,202105,garch,1217.45,1209.45,3,7,-0.2923,-0.44721823930740356,-127.46,-198.15,768.28,True,231.2
202106,202106,garch,1180.7,1172.7,3,7,-0.4498,-0.43284350633621216,-98.49,-196.08,808.98,True,300.0
202107,202107,garch,1059.28,1051.28,3,7,-0.4313,-0.358115553855896,-65.29,-35.61,691.04,True,450.0
202108,202108,garch,1053.33,1045.33,3,7,-0.3196,-0.45644813776016235,84.19,-5.65,730.94,True,131.2
202109,202109,garch,1008.54,1000.54,3,7,-0.5854,-0.5611184239387512,-31.88,-54.74,631.75,True,287.5
202110,202110,garch,962.09,954.09,3,7,-0.5361,-0.4522075057029724,-3.85,34.96,605.85,True,425.0
202111,202111,garch,1017.36,1009.36,3,7,-0.2321,-0.4431055784225464,-79.54,37.89,607.29,True,137.5
202112,202112,garch,946.98,938.98,3,7,-0.5491,-0.6024215817451477,218.71,108.13,649.35,True,287.5
202201,202201,garch,960.68,952.68,3,7,-0.7988,-0.7551209926605225,-0.85,14.59,657.46,True,431.2
202202,202202,garch,1016.87,1008.87,3,7,-0.4142,-0.3611088991165161,-117.75,-53.3,671.06,True,225.0
202203,202203,garch,1063.14,1055.14,3,7,-0.655,-0.5324318408966064,23.77,-99.72,764.6,True,381.2
202204,202204,garch,994.87,986.87,3,7,-0.6116,-0.4887111783027649,-91.03,-115.68,647.84,True,400.0
202205,202205,garch,920.23,912.23,3,7,-0.2737,-0.22977545857429504,88.44,-0.87,687.6,True,175.0
202206,202206,garch,962.71,954.71,3,7,-0.2872,-0.16344431042671204,-33.82,-74.35,661.69,True,425.0
202207,202207,garch,905.36,897.36,3,7,-0.9579,-0.7070112824440002,-62.27,10.84,619.8,True,400.0
202208,202208,garch,893.97,885.97,3,7,-0.4246,-0.3565026521682739,8.95,99.31,636.88,True,293.8
202209,202209,garch,850.67,842.67,3,7,-1.139,-0.9177881479263306,-42.75,167.5,608.84,True,387.5
202210,202210,garch,857.8,849.8,3,7,0.0142,0.0809093490242958,139.67,207.83,675.46,True,150.0
202211,202211,garch,927.77,919.77,3,7,1.5016,-0.016958825290203094,44.44,43.84,654.87,True,300.0
202212,202212,garch,1039.03,1031.03,3,7,0.1127,-0.1987825632095337,-27.4,-59.89,678.57,True,225.0
202301,202301,garch,1032.35,1024.35,3,7,-0.3417,-0.154405415058136,-10.04,24.47,607.03,True,200.0
202302,202302,garch,1007.7,999.7,3,7,-0.1844,-0.0773913562297821,-13.36,61.45,625.74,True,250.0
202303,202303,garch,968.37,960.37,3,7,-0.3603,-0.44378453493118286,154.0,12.24,594.21,True,81.2
202304,202304,garch,998.82,990.82,3,7,-0.8818,-0.6290291547775269,102.26,-41.09,580.73,True,168.8
202305,202305,garch,1076.88,1068.88,3,7,-0.5899,-0.2424241006374359,25.39,-141.85,590.67,True,450.0
202306,202306,garch,1011.35,1003.35,3,7,-0.3669,-0.41752541065216064,21.15,-80.88,559.36,True,187.5
202307,202307,garch,911.82,903.82,3,7,-0.6901,-0.5026682615280151,17.41,-10.19,456.39,True,250.0
202308,202308,garch,944.47,936.47,3,7,-0.4136,-0.43320906162261963,83.73,-28.36,535.92,True,200.0
202309,202309,garch,987.18,979.18,3,7,-0.5391,-0.62725830078125,-20.46,-32.55,548.63,True,175.0
202310,202310,garch,914.96,906.96,3,7,-1.0055,-0.6839600801467896,46.25,21.05,516.71,True,175.0
202311,202311,garch,934.36,926.36,3,7,-0.3391,-0.41598930954933167,-19.87,-30.98,568.83,True,187.5
202312,202312,garch,941.83,933.83,3,7,-0.4335,-0.45452481508255005,35.12,-24.23,526.54,True,243.8
