curve,t,in_fork,scen,n_tenors,scen_lo,scen_hi,n_scen_used,scen_contiguous,all_tenors,is_product,rows_used,rows_total,frac,window_lo_rel_t,window_hi_rel_t
"Factor(type='InterestRate', name=('USD-SOFR'",108,True,110,31,82,109,20,False,False,False,22,3410,0.0065,-26,1
"Factor(type='InterestRate', name=('USD-SOFR'",108,True,110,31,82,109,20,False,False,False,22,3410,0.0065,-26,1
"Factor(type='InterestRate', name=('USD-SOFR'",109,True,111,31,82,110,21,False,False,False,23,3441,0.0067,-27,1
"Factor(type='InterestRate', name=('USD-SOFR'",109,True,111,31,82,110,21,False,False,False,23,3441,0.0067,-27,1
"Factor(type='InterestRate', name=('USD-SOFR'",110,True,112,31,82,111,22,False,False,False,24,3472,0.0069,-28,1
"Factor(type='InterestRate', name=('USD-SOFR'",111,True,113,31,82,112,23,False,False,False,25,3503,0.0071,-29,1
"Factor(type='InterestRate', name=('USD-SOFR'",111,True,113,31,82,112,23,False,False,False,25,3503,0.0071,-29,1
"Factor(type='InterestRate', name=('USD-SOFR'",112,True,114,31,82,113,24,False,False,False,26,3534,0.0074,-30,1
"Factor(type='InterestRate', name=('USD-SOFR'",113,True,115,31,82,114,25,False,False,False,27,3565,0.0076,-31,1
"Factor(type='InterestRate', name=('USD-SOFR'",113,True,115,31,82,114,25,False,False,False,27,3565,0.0076,-31,1
"Factor(type='InterestRate', name=('USD-SOFR'",114,True,116,31,82,115,25,False,False,False,27,3596,0.0075,-32,1
"Factor(type='InterestRate', name=('USD-SOFR'",114,True,116,31,82,115,25,False,False,False,27,3596,0.0075,-32,1
"Factor(type='InterestRate', name=('USD-SOFR'",115,True,117,31,82,116,25,False,False,False,27,3627,0.0074,-33,1
"Factor(type='InterestRate', name=('USD-SOFR'",115,True,117,31,82,116,25,False,False,False,27,3627,0.0074,-33,1
"Factor(type='InterestRate', name=('USD-SOFR'",116,True,118,31,82,117,25,False,False,False,27,3658,0.0074,-34,1
"Factor(type='InterestRate', name=('USD-SOFR'",116,True,118,31,82,117,25,False,False,False,27,3658,0.0074,-34,1
"Factor(type='InterestRate', name=('USD-SOFR'",,False,119,31,0,118,119,True,False,False,510,3689,0.1382,,
