tag,net_oz,gross_oz,realized_cost_oz
202001,-94.5159,-93.5377,0.9782
202002,-47.7117,-46.5758,1.1359
202003,-31.4277,-29.2285,2.1992
202004,49.1297,51.0187,1.889
202005,144.441,144.9445,0.5035
202006,90.9063,92.7552,1.8489
202007,62.9509,65.8677,2.9168
202008,-18.7518,-15.8532,2.8986
202009,26.2444,31.1447,4.9003
202010,8.384,10.1584,1.7744
202011,162.0753,164.7609,2.6856
202012,32.6144,37.2171,4.6027
202101,-2.7942,3.5043,6.2985
202102,244.0379,247.7383,3.7004
202103,60.538,63.0275,2.4895
202104,-11.6119,-7.2208,4.3911
202105,-127.4609,-124.5877,2.8732
202106,-98.4857,-95.4988,2.9869
202107,-65.2892,-60.7852,4.5041
202108,84.189,86.0586,1.8696
202109,-31.882,-29.0233,2.8588
202110,-3.8506,0.4971,4.3477
202111,-79.5389,-77.575,1.9639
202112,218.7125,222.3316,3.6191
202201,-0.8457,3.6736,4.5192
202202,-117.7539,-115.082,2.6719
202203,23.7703,27.5893,3.819
202204,-91.0324,-87.2105,3.8219
202205,88.4428,90.0123,1.5695
202206,-33.8236,-30.023,3.8006
202207,-62.2683,-58.2313,4.0369
202208,8.9522,12.175,3.2228
202209,-42.75,-38.7796,3.9703
202210,139.6702,141.6498,1.9796
202211,44.4418,48.3558,3.9141
202212,-27.4033,-24.616,2.7873
202301,-10.0423,-6.9382,3.1041
202302,-13.3649,-10.6996,2.6653
202303,154.0018,155.3888,1.387
202304,102.2603,104.4492,2.1889
202305,25.3939,30.3926,4.9987
202306,21.1458,23.4111,2.2653
202307,17.4109,20.1778,2.7669
202308,83.7281,86.5797,2.8516
202309,-20.4599,-18.1823,2.2776
202310,46.2502,48.5256,2.2754
202311,-19.8691,-17.4021,2.467
202312,35.1232,37.9258,2.8026
