band,cost_config,n,mean,std,min,p10,cvar5,m_std,m_cvar,bound_pass,breaches,churn
free,flat10,48,19.206,81.782,-127.46,-82.987,-114.567,0.2348,0.1676,48/48,0,262.1
015,flat10,48,17.4,30.938,-57.68,-15.068,-40.893,0.5624,0.4255,48/48,0,259.1
025,flat10,48,16.853,37.534,-55.94,-27.628,-47.533,0.449,0.3546,48/48,0,256.5
040,flat10,48,18.689,48.073,-80.89,-43.061,-64.333,0.3888,0.2905,48/48,0,253.8
060,flat10,48,22.864,59.461,-81.43,-52.036,-79.87,0.3845,0.2863,48/48,0,252.6
free,base,48,22.618,94.259,-164.37,-86.256,-143.06,0.24,0.1581,48/48,0,226.4
015,base,48,18.247,35.23,-58.97,-14.689,-44.483,0.5179,0.4102,48/48,0,250.3
025,base,48,20.082,42.434,-52.78,-27.393,-49.98,0.4732,0.4018,48/48,0,235.2
040,base,48,22.742,54.935,-90.31,-36.914,-76.237,0.414,0.2983,48/48,0,227.5
060,base,48,24.091,68.722,-116.67,-55.424,-103.517,0.3506,0.2327,48/48,0,218.0
free,high,48,24.731,96.937,-159.37,-90.881,-146.597,0.2551,0.1687,48/48,0,220.6
015,high,48,18.166,34.962,-54.2,-14.355,-41.687,0.5196,0.4358,48/48,0,253.5
025,high,48,19.62,42.072,-52.04,-27.388,-47.797,0.4663,0.4105,48/48,0,241.1
040,high,48,23.863,53.867,-77.72,-39.227,-71.637,0.443,0.3331,48/48,0,233.6
060,high,48,24.059,67.923,-111.8,-55.689,-100.58,0.3542,0.2392,48/48,0,221.8
