batch,inner,flat,ok,peak_alloc_GiB,peak_reserved_GiB,s_per_fit_step,fit_steps,wall_s,gpu_util_mean,gpu_util_peak,paths_per_s,error
512,64,32768,True,0.32,0.37,0.511,3,3.0,8.0,24,1001.5,
768,64,49152,True,0.4,0.51,0.609,3,3.4,10.2,27,1260.9,
1024,64,65536,True,0.48,0.57,0.528,3,3.2,19.0,59,1938.8,
1280,64,81920,True,0.57,0.73,0.605,3,3.8,27.0,43,2115.2,
1536,64,98304,True,0.67,0.83,0.667,3,4.0,20.5,29,2302.2,
2048,64,131072,True,0.87,1.07,0.758,3,4.4,16.8,30,2702.4,
1024,96,98304,True,0.6,0.77,0.659,3,4.0,11.0,24,1553.2,
1024,128,131072,True,0.73,0.91,0.695,3,4.3,11.4,36,1472.5,
768,128,98304,True,0.57,0.71,0.643,3,3.8,31.2,52,1193.5,
3072,64,196608,True,1.27,1.49,0.884,3,5.4,21.2,49,3476.0,
4096,64,262144,True,1.68,1.99,1.025,3,6.3,43.9,99,3996.1,
1280,256,327680,True,1.57,2.05,1.132,3,7.2,35.1,88,1131.0,
