tag,band,greedy,nohedge,bound,pass,churn,breaches,breach_worst,md,V_0
202001,0.15,22.08,-194.35,810.1,True,50.0,0,0.0,md_202001_garch.json,
202002,0.15,-40.25,-172.13,892.94,True,125.0,0,0.0,md_202001_garch.json,
202003,0.15,-24.72,-49.94,845.94,True,93.8,0,0.0,md_202001_garch.json,
202004,0.15,-5.8,135.4,628.43,True,268.8,0,0.0,md_202004_garch.json,
202005,0.15,59.03,169.58,746.71,True,137.5,0,0.0,md_202004_garch.json,
202006,0.15,95.38,87.3,751.38,True,62.5,0,0.0,md_202004_garch.json,
202007,0.15,43.99,62.96,699.5,True,262.5,0,0.0,md_202007_garch.json,
202008,0.15,5.76,1.36,637.15,True,168.8,0,0.0,md_202007_garch.json,
202009,0.15,11.3,89.72,605.54,True,187.5,0,0.0,md_202007_garch.json,
202010,0.15,6.35,210.46,625.76,True,62.5,0,0.0,md_202010_garch.json,
202011,0.15,34.33,352.15,685.55,True,150.0,0,0.0,md_202010_garch.json,
202012,0.15,41.4,213.82,708.43,True,112.5,0,0.0,md_202010_garch.json,
202101,0.15,12.58,142.05,758.24,True,437.5,0,0.0,md_202101_garch.json,
202102,0.15,69.33,123.87,765.09,True,137.5,0,0.0,md_202101_garch.json,
202103,0.15,12.99,-73.18,751.02,True,75.0,0,0.0,md_202101_garch.json,
202104,0.15,47.87,-84.43,765.31,True,381.2,0,0.0,md_202104_garch.json,
202105,0.15,2.6,-198.15,768.28,True,50.0,0,0.0,md_202104_garch.json,
202106,0.15,29.89,-196.08,808.98,True,93.8,0,0.0,md_202104_garch.json,
202107,0.15,14.63,-35.61,691.04,True,431.2,0,0.0,md_202107_garch.json,
202108,0.15,35.24,-5.65,730.94,True,162.5,0,0.0,md_202107_garch.json,
202109,0.15,11.26,-54.74,631.75,True,112.5,0,0.0,md_202107_garch.json,
202110,0.15,26.92,34.96,605.85,True,293.8,0,0.0,md_202110_garch.json,
202111,0.15,-9.01,37.89,607.29,True,212.5,0,0.0,md_202110_garch.json,
202112,0.15,14.27,108.13,649.35,True,437.5,0,0.0,md_202110_garch.json,
202201,0.15,-3.29,14.59,657.46,True,237.5,0,0.0,md_202201_garch.json,
202202,0.15,5.02,-53.3,671.06,True,137.5,0,0.0,md_202201_garch.json,
202203,0.15,5.72,-99.72,764.6,True,518.8,0,0.0,md_202201_garch.json,
202204,0.15,-18.44,-115.68,647.84,True,543.8,0,0.0,md_202204_garch.json,
202205,0.15,45.45,-0.87,687.6,True,156.2,0,0.0,md_202204_garch.json,
202206,0.15,34.86,-74.35,661.69,True,593.8,0,0.0,md_202204_garch.json,
202207,0.15,-54.73,10.84,619.8,True,487.5,0,0.0,md_202207_garch.json,
202208,0.15,-7.78,99.31,636.88,True,187.5,0,0.0,md_202207_garch.json,
202209,0.15,-16.43,167.5,608.84,True,237.5,0,0.0,md_202207_garch.json,
202210,0.15,62.29,207.83,675.46,True,325.0,0,0.0,md_202210_garch.json,
202211,0.15,96.34,43.84,654.87,True,343.8,0,0.0,md_202210_garch.json,
202212,0.15,8.78,-59.89,678.57,True,412.5,0,0.0,md_202212_fresh_garch.json,
202301,0.15,42.8,24.47,607.03,True,331.2,0,0.0,md_202301_garch.json,
202302,0.15,6.65,61.45,625.74,True,468.8,0,0.0,md_202301_garch.json,
202303,0.15,25.19,12.24,594.21,True,137.5,0,0.0,md_202303_fresh_garch.json,
202304,0.15,5.83,-41.09,580.73,True,325.0,0,0.0,md_202304_garch.json,
202305,0.15,33.06,-141.85,590.67,True,437.5,0,0.0,md_202304_garch.json,
202306,0.15,14.81,-80.88,559.36,True,325.0,0,0.0,md_202306_fresh_garch.json,
202307,0.15,-1.53,-10.19,456.39,True,325.0,0,0.0,md_202307_garch.json,
202308,0.15,32.37,-28.36,535.92,True,343.8,0,0.0,md_202307_garch.json,
202309,0.15,-14.93,-32.55,548.63,True,325.0,0,0.0,md_202309_fresh_garch.json,
202310,0.15,2.57,21.05,516.71,True,325.0,0,0.0,md_202310_garch.json,
202311,0.15,1.17,-30.98,568.83,True,137.5,0,0.0,md_202310_garch.json,
202312,0.15,-4.69,-24.23,526.54,True,325.0,0,0.0,md_202312_fresh_garch.json,
202001,0.6,-94.14,-194.35,810.1,True,75.0,0,0.0,md_202001_garch.json,
202002,0.6,-82.7,-172.13,892.94,True,112.5,0,0.0,md_202001_garch.json,
202003,0.6,-7.42,-49.94,845.94,True,150.0,0,0.0,md_202001_garch.json,
202004,0.6,44.29,135.4,628.43,True,275.0,0,0.0,md_202004_garch.json,
202005,0.6,115.04,169.58,746.71,True,143.8,0,0.0,md_202004_garch.json,
202006,0.6,145.9,87.3,751.38,True,262.5,0,0.0,md_202004_garch.json,
202007,0.6,64.4,62.96,699.5,True,212.5,0,0.0,md_202007_garch.json,
202008,0.6,-33.34,1.36,637.15,True,225.0,0,0.0,md_202007_garch.json,
202009,0.6,36.59,89.72,605.54,True,268.8,0,0.0,md_202007_garch.json,
202010,0.6,-5.85,210.46,625.76,True,150.0,0,0.0,md_202010_garch.json,
202011,0.6,104.98,352.15,685.55,True,237.5,0,0.0,md_202010_garch.json,
202012,0.6,3.86,213.82,708.43,True,312.5,0,0.0,md_202010_garch.json,
202101,0.6,5.6,142.05,758.24,True,500.0,0,0.0,md_202101_garch.json,
202102,0.6,160.39,123.87,765.09,True,100.0,0,0.0,md_202101_garch.json,
202103,0.6,56.26,-73.18,751.02,True,112.5,0,0.0,md_202101_garch.json,
202104,0.6,71.83,-84.43,765.31,True,325.0,0,0.0,md_202104_garch.json,
202105,0.6,-83.58,-198.15,768.28,True,168.8,0,0.0,md_202104_garch.json,
202106,0.6,-60.49,-196.08,808.98,True,237.5,0,0.0,md_202104_garch.json,
202107,0.6,31.33,-35.61,691.04,True,425.0,0,0.0,md_202107_garch.json,
202108,0.6,96.63,-5.65,730.94,True,100.0,0,0.0,md_202107_garch.json,
202109,0.6,-9.85,-54.74,631.75,True,137.5,0,0.0,md_202107_garch.json,
202110,0.6,-10.13,34.96,605.85,True,375.0,0,0.0,md_202110_garch.json,
202111,0.6,-34.7,37.89,607.29,True,187.5,0,0.0,md_202110_garch.json,
202112,0.6,151.0,108.13,649.35,True,325.0,0,0.0,md_202110_garch.json,
202201,0.6,58.23,14.59,657.46,True,337.5,0,0.0,md_202201_garch.json,
202202,0.6,-64.19,-53.3,671.06,True,162.5,0,0.0,md_202201_garch.json,
202203,0.6,16.42,-99.72,764.6,True,462.5,0,0.0,md_202201_garch.json,
202204,0.6,-56.5,-115.68,647.84,True,412.5,0,0.0,md_202204_garch.json,
202205,0.6,85.91,-0.87,687.6,True,187.5,0,0.0,md_202204_garch.json,
202206,0.6,12.88,-74.35,661.69,True,437.5,0,0.0,md_202204_garch.json,
202207,0.6,-59.99,10.84,619.8,True,425.0,0,0.0,md_202207_garch.json,
202208,0.6,57.26,99.31,636.88,True,268.8,0,0.0,md_202207_garch.json,
202209,0.6,-0.74,167.5,608.84,True,306.2,0,0.0,md_202207_garch.json,
202210,0.6,103.5,207.83,675.46,True,250.0,0,0.0,md_202210_garch.json,
202211,0.6,73.96,43.84,654.87,True,325.0,0,0.0,md_202210_garch.json,
202212,0.6,-3.95,-59.89,678.57,True,300.0,0,0.0,md_202212_fresh_garch.json,
202301,0.6,-1.37,24.47,607.03,True,275.0,0,0.0,md_202301_garch.json,
202302,0.6,15.88,61.45,625.74,True,387.5,0,0.0,md_202301_garch.json,
202303,0.6,102.95,12.24,594.21,True,150.0,0,0.0,md_202303_fresh_garch.json,
202304,0.6,60.26,-41.09,580.73,True,250.0,0,0.0,md_202304_garch.json,
202305,0.6,45.95,-141.85,590.67,True,450.0,0,0.0,md_202304_garch.json,
202306,0.6,8.92,-80.88,559.36,True,250.0,0,0.0,md_202306_fresh_garch.json,
202307,0.6,-3.53,-10.19,456.39,True,250.0,0,0.0,md_202307_garch.json,
202308,0.6,38.41,-28.36,535.92,True,275.0,0,0.0,md_202307_garch.json,
202309,0.6,-32.54,-32.55,548.63,True,250.0,0,0.0,md_202309_fresh_garch.json,
202310,0.6,30.73,21.05,516.71,True,250.0,0,0.0,md_202310_garch.json,
202311,0.6,-1.32,-30.98,568.83,True,193.8,0,0.0,md_202310_garch.json,
202312,0.6,30.54,-24.23,526.54,True,300.0,0,0.0,md_202312_fresh_garch.json,
