trade,spot_model,fair,strike,n_seeds,market_dim,train_u,train_u_seeds,V_0,greedy_usd_oz,nohedge_usd_oz,pf_bound,bound_pass,churn,fresh_md
202001,garch,959.64,951.64,3,6,-0.4154,"[-0.4154, -0.49, -0.51]",-0.4197355806827545,-100.52,-194.35,810.1,True,187.5,
202002,garch,972.59,964.59,3,6,-0.3706,"[-0.3706, -0.4051, -0.4951]",-0.4523365199565887,-90.53,-172.13,892.94,True,181.2,
202003,garch,881.34,873.34,3,6,-0.6822,"[-0.6822, -0.7713, -0.7928]",-0.6965845227241516,-39.39,-49.94,845.94,True,150.0,
202004,garch,731.24,723.24,3,6,-0.467,"[-0.467, -0.4875, -0.498]",-0.4235841333866119,-3.89,135.4,628.43,True,468.8,
202005,garch,778.14,770.14,3,6,-0.371,"[-0.371, -0.3887, -0.3449]",-0.4570962190628052,6.78,169.58,746.71,True,462.5,
202006,garch,833.17,825.17,3,6,-0.2142,"[-0.2142, -0.2516, -0.2382]",-0.180687129497528,21.97,87.3,751.38,True,700.0,
202007,garch,822.27,814.27,3,6,-0.5831,"[-0.5831, -0.583, -0.5443]",-0.5797074437141418,134.4,62.96,699.5,True,325.0,
202008,garch,914.26,906.26,3,6,-0.3143,"[-0.3143, -0.3514, -0.3598]",-0.3607372045516968,-32.72,1.36,637.15,True,375.0,
202009,garch,939.76,931.76,3,6,-0.5205,"[-0.5205, -0.5826, -0.5641]",-0.5399174094200134,80.05,89.72,605.54,True,462.5,
202010,garch,886.71,878.71,3,6,-0.4426,"[-0.4426, -0.4593, -0.4233]",-0.4259417057037353,1.13,210.46,625.76,True,112.5,
202011,garch,858.26,850.26,3,6,-0.4142,"[-0.4142, -0.4715, -0.571]",-0.5966012477874756,226.79,352.15,685.55,True,318.8,
202012,garch,975.75,967.75,3,6,-0.3467,"[-0.3467, -0.3921, -0.4851]",-0.4065258800983429,113.78,213.82,708.43,True,387.5,
202101,garch,1069.18,1061.18,3,6,-0.6112,"[-0.6112, -0.6554, -0.643]",-0.5897918939590454,104.49,142.05,758.24,True,668.8,
202102,garch,1100.42,1092.42,3,6,-0.0219,"[-0.0219, -0.0293, -0.0696]",-0.1160782426595687,202.55,123.87,765.09,True,262.5,
202103,garch,1211.0,1203.0,3,6,-0.5141,"[-0.5141, -0.5437, -0.5373]",-0.5046700835227966,87.09,-73.18,751.02,True,325.0,
202104,garch,1180.55,1172.55,3,6,-0.4819,"[-0.4819, -0.5393, -0.4953]",-0.4459372162818908,-20.98,-84.43,765.31,True,456.2,
202105,garch,1217.45,1209.45,3,6,-0.3469,"[-0.3469, -0.3783, -0.4602]",-0.5079023241996765,-154.82,-198.15,768.28,True,181.2,
202106,garch,1180.7,1172.7,3,6,-0.5533,"[-0.5533, -0.589, -0.5811]",-0.5522440671920776,-31.82,-196.08,808.98,True,350.0,
202107,garch,1059.28,1051.28,3,6,-0.4487,"[-0.4487, -0.4601, -0.4109]",-0.3991638422012329,17.34,-35.61,691.04,True,468.8,
202108,garch,1053.33,1045.33,3,6,-0.4335,"[-0.4335, -0.4756, -0.5455]",-0.5929489135742188,123.02,-5.65,730.94,True,68.8,
202109,garch,1008.54,1000.54,3,6,-0.6792,"[-0.6792, -0.7075, -0.6969]",-0.6537148952484131,-25.55,-54.74,631.75,True,312.5,
202110,garch,962.09,954.09,3,6,-0.535,"[-0.535, -0.5533, -0.5081]",-0.4812307953834533,28.1,34.96,605.85,True,443.8,
202111,garch,1017.36,1009.36,3,6,-0.3849,"[-0.3849, -0.3879, -0.4376]",-0.6262213587760925,44.47,37.89,607.29,True,262.5,
202112,garch,946.98,938.98,3,6,-0.598,"[-0.598, -0.7213, -0.7566]",-0.7012982368469238,225.68,108.13,649.35,True,343.8,
202201,garch,960.68,952.68,3,6,-0.7321,"[-0.7321, -0.7907, -0.7536]",-0.692652702331543,20.51,14.59,657.46,True,575.0,
202202,garch,1016.87,1008.87,3,6,-0.3818,"[-0.3818, -0.4089, -0.4473]",-0.3559833168983459,-134.54,-53.3,671.06,True,300.0,
202203,garch,1063.14,1055.14,3,6,-0.8083,"[-0.8083, -0.8836, -0.8452]",-0.7091853618621826,22.49,-99.72,764.6,True,387.5,
202204,garch,994.87,986.87,3,6,-0.6503,"[-0.6503, -0.6963, -0.6714]",-0.5707919597625732,-81.92,-115.68,647.84,True,550.0,
202205,garch,920.23,912.23,3,6,-0.4126,"[-0.4126, -0.467, -0.4622]",-0.3671374917030334,86.04,-0.87,687.6,True,237.5,
202206,garch,962.71,954.71,3,6,-0.2977,"[-0.2977, -0.3227, -0.3156]",-0.2066328227519989,-80.3,-74.35,661.69,True,562.5,
202207,garch,905.36,897.36,3,6,-1.1714,"[-1.1714, -1.1672, -1.0381]",-0.8410789966583252,-77.26,10.84,619.8,True,456.2,
202208,garch,893.97,885.97,3,6,-0.4173,"[-0.4173, -0.4961, -0.4697]",-0.4062792062759399,11.59,99.31,636.88,True,268.8,
202209,garch,850.67,842.67,3,6,-1.242,"[-1.242, -1.3551, -1.2766]",-1.0820845365524292,4.02,167.5,608.84,True,606.2,
202210,garch,857.8,849.8,3,6,-0.0594,"[-0.0594, -0.0797, -0.1538]",-0.0003316793590784,139.67,207.83,675.46,True,150.0,
202211,garch,927.77,919.77,3,6,1.3786,"[1.3786, 1.3358, 1.3406]",-0.090970903635025,-0.59,43.84,654.87,True,300.0,
202212,garch,1039.03,1031.03,3,6,-0.024,"[-0.024, -0.0574, -0.0676]",-0.3151911795139313,75.23,-59.89,678.57,True,437.5,True
202301,garch,1032.35,1024.35,3,6,-0.3714,"[-0.3714, -0.3492, -0.4515]",-0.2098124921321869,-10.04,24.47,607.03,True,200.0,
202302,garch,1007.7,999.7,3,6,-0.398,"[-0.398, -0.4421, -0.4626]",-0.2612133920192718,-13.6,61.45,625.74,True,325.0,
202303,garch,968.37,960.37,3,6,-0.4112,"[-0.4112, -0.4666, -0.3451]",-0.4619931876659393,138.86,12.24,594.21,True,181.2,True
202304,garch,998.82,990.82,3,6,-0.9215,"[-0.9215, -0.9603, -0.9407]",-0.6340507864952087,87.66,-41.09,580.73,True,231.2,
202305,garch,1076.88,1068.88,3,6,-0.5248,"[-0.5248, -0.579, -0.549]",-0.2624931335449219,24.38,-141.85,590.67,True,437.5,
202306,garch,1011.35,1003.35,3,6,-0.4456,"[-0.4456, -0.5361, -0.3806]",-0.5083332061767578,30.08,-80.88,559.36,True,200.0,True
202307,garch,911.82,903.82,3,6,-0.7433,"[-0.7433, -0.7554, -0.8574]",-0.5682508945465088,10.11,-10.19,456.39,True,287.5,
202308,garch,944.47,936.47,3,6,-0.4742,"[-0.4742, -0.4298, -0.4138]",-0.4453784227371216,175.47,-28.36,535.92,True,200.0,
202309,garch,987.18,979.18,3,6,-0.6525,"[-0.6525, -0.7492, -0.569]",-0.7385967969894409,-11.22,-32.55,548.63,True,168.8,True
202310,garch,914.96,906.96,3,6,-1.2213,"[-1.2213, -1.2942, -1.2228]",-0.8860374689102173,46.46,21.05,516.71,True,168.8,
202311,garch,934.36,926.36,3,6,-0.4709,"[-0.4709, -0.4288, -0.4942]",-0.4840215444564819,-23.52,-30.98,568.83,True,275.0,
202312,garch,941.83,933.83,3,6,-0.4251,"[-0.4251, -0.5461, -0.3879]",-0.4782752096652984,-8.18,-24.23,526.54,True,212.5,True
