phase,layer,probe,month,is_loser,knob,u_pre,control_u_pre,d_u_pre,greedy_usd_oz,churn,bound_pass,train_u,train_u_moved,roll_u_pre_moved,override_engaged,dead_key,roll_scale,cost_aware,bid_offer,roll_inner
1,TRAIN,control,202105,True,base config,0.3596,0.3596,0.0,-166.63,237.5,True,-0.5867,False,False,True,False,-0.6211956739425659,,,512
1,TRAIN,H1c_Hub24,202105,True,Huber_Aversion 6->24,0.3808,0.3596,0.0212,-154.37,250.0,True,-2.6768,True,True,True,False,-2.7712302207946777,,,512
1,TRAIN,H1e_Hub2,202105,True,Huber_Aversion 6->2,0.3077,0.3596,-0.0519,-186.04,256.2,True,-0.1212,True,True,True,False,-0.14383426308631897,,,512
1,TRAIN,H1f_Hub100,202105,True,Huber_Aversion 6->100,0.3962,0.3596,0.0366,-155.48,281.2,True,-11.4599,True,True,True,False,-11.838190078735352,,,512
1,TRAIN,H1g_Delta025,202105,True,Huber_Delta 1.0->0.25,0.3423,0.3596,-0.0173,-200.69,187.5,True,-0.2925,True,True,True,False,-0.33879631757736206,,,512
1,TRAIN,H1h_Delta4,202105,True,Huber_Delta 1.0->4.0,0.3596,0.3596,0.0,-166.63,237.5,True,-0.5987,True,False,True,False,-0.624751627445221,,,512
1,TRAIN,H2_inner16,202105,True,train Inner_Sub_Batch 64->16,0.3596,0.3596,0.0,-166.63,237.5,True,-0.6097,True,False,True,False,-0.6214014291763306,,,512
1,TRAIN,H2_inner256,202105,True,train Inner_Sub_Batch 64->256,0.3596,0.3596,0.0,-166.63,237.5,True,-0.6373,True,False,True,False,-0.6211123466491699,,,512
1,TRAIN,H3_grid21,202105,True,Action_Grid_Levels 9->21,0.3608,0.3596,0.0012,-167.27,227.5,True,-0.5872,True,True,True,False,-0.6211854219436646,,,512
1,TRAIN,H1a_SR0.1,202105,True,Surplus_Reward 1->0.1 (DEAD KEY),0.3596,0.3596,0.0,-166.63,237.5,True,-0.5867,False,False,True,True,-0.6211956739425659,,,512
1,TRAIN,control,202011,False,base config,0.6212,0.6212,0.0,103.5,325.0,True,-0.6321,False,False,True,False,-0.6519235968589783,,,512
1,TRAIN,H1c_Hub24,202011,False,Huber_Aversion 6->24,0.6769,0.6212,0.0557,115.28,381.2,True,-2.761,True,True,True,False,-2.8426742553710938,,,512
1,TRAIN,H1e_Hub2,202011,False,Huber_Aversion 6->2,0.6808,0.6212,0.0596,111.52,331.2,True,-0.1566,True,True,True,False,-0.16522985696792603,,,512
1,TRAIN,H1f_Hub100,202011,False,Huber_Aversion 6->100,0.6519,0.6212,0.0307,125.21,418.8,True,-11.7858,True,True,True,False,-12.103683471679688,,,512
1,TRAIN,H1g_Delta025,202011,False,Huber_Delta 1.0->0.25,0.6212,0.6212,0.0,109.17,312.5,True,-0.3346,True,False,True,False,-0.3640322685241699,,,512
1,TRAIN,H1h_Delta4,202011,False,Huber_Delta 1.0->4.0,0.6212,0.6212,0.0,103.5,325.0,True,-0.6381,True,False,True,False,-0.6584985256195068,,,512
