tag,detailed,trade_date,strike,fair,avg_lme,P0,PT,dP_pct,basis0,basisT,basis_min,basis_max,cover_mean,cover_max,churn,greedy_usd_oz,nohedge_usd_oz,full_lock_usd_oz,delta_ramp_usd_oz,greedy_minus_ramp,dcmp_locked_margin,dcmp_undercover_directional,dcmp_timing,dcmp_txn_cost,dcmp_state_residual,dcmp_recon_check,classification,avoidable_in_mandate,note
202001,True,2020-01-01,951.6,959.6,757.2,969.4,778.4,-19.7,-16.9,-15.9,-81.3,134.3,0.25,1.0,200.0,-88.0,-194.4,2.4,22.5,-110.5,2.4,-120.1,26.5,-1.0,4.2,-92.2,crash-undercover,YES,Late/partial crash short (flat until Mar; cov_mu 0.25). Beat nohedge +106 but left +110 vs ideal ramp. A standing delta hedge = full short from day1 -> +22.
202002,False,2020-02-03,964.6,972.6,792.4,965.4,863.3,-10.6,1.1,-36.3,-128.7,134.3,0.57,1.0,194.0,0.1,-172.2,-61.5,-28.4,28.5,-61.5,-31.5,82.7,-1.6,11.9,-11.9,,,
202003,True,2020-03-02,873.3,881.3,823.4,856.1,819.8,-4.2,19.4,4.2,-128.7,134.3,0.38,1.0,300.0,-61.5,-50.0,-8.2,-23.6,-37.9,-8.2,-27.3,-44.1,-2.4,20.5,-82.0,timing-churn+crash-undercover,PARTIAL,"Worst-of-both: under-hedged the crash (cov 0.38), covered at the bottom, then shorted late into June. -38 vs ramp; ramp itself -24 (crash recovered above nothing, real loss). High COVID recon noise."
202004,False,2020-04-01,723.2,731.2,858.4,710.9,949.5,33.6,14.1,-42.0,-128.7,36.2,0.41,1.0,131.0,89.4,135.1,-96.9,-26.1,115.5,-96.9,113.4,63.9,-0.2,9.2,80.2,,,
202005,False,2020-05-01,770.1,778.1,939.6,814.6,894.1,9.8,-34.6,11.4,-128.7,54.1,0.04,1.0,50.0,203.4,169.5,81.9,24.4,179.0,81.9,80.8,37.7,-0.4,3.4,200.0,,,
202006,False,2020-06-01,825.2,833.2,912.4,900.7,881.1,-2.2,-68.2,17.4,-86.0,68.4,0.41,1.0,88.0,89.9,87.2,105.4,80.5,9.4,105.4,-16.8,-17.9,-0.8,19.9,70.0,,,
202007,False,2020-07-01,814.3,822.3,877.2,822.5,867.1,5.4,-10.5,6.4,-86.0,68.4,0.96,1.0,138.0,41.7,63.0,34.1,26.4,15.3,34.1,1.3,32.1,-1.2,-24.6,66.3,,,
202008,True,2020-08-03,906.3,914.3,907.6,924.3,1070.8,15.8,-17.8,-48.3,-66.5,68.4,0.94,1.0,225.0,-103.2,1.4,-133.6,19.9,-123.1,-133.6,7.6,8.1,-2.2,16.9,-120.1,over-hold / averaging-decoupling (NEW anomaly),YES,Held ~full short (cov_mu 0.94) through AND past the Nov averaging into the late-Nov/Dec rally. Nov avg locked flat (+1.4) but the M2 short bled the +198 Dec rally. Delta-ramp (flat by Dec) = +20. -123 vs ramp.
202009,False,2020-09-01,931.8,939.8,1021.5,947.1,1064.6,12.4,-17.1,6.9,-48.3,68.4,0.87,1.0,225.0,17.5,89.7,-15.1,14.9,2.6,-15.1,13.4,49.8,-2.2,-28.3,45.8,,,
202010,True,2020-10-01,878.7,886.7,1089.2,895.8,1100.8,22.9,-17.8,-2.3,-48.6,69.3,0.78,1.0,106.0,-9.2,210.5,19.6,25.7,-34.8,19.6,40.3,-66.1,-1.0,-2.0,-7.2,upside-forfeit (inherent) + mild timing,MOSTLY-LOCKER,Rally; full short held through Nov-Dec forfeits the +210 upside as any hedge must. Behaves like a locker (-9). Only -35 vs ideal ramp (went full short a bit late). NOT a defect.
