param_set,n,z,barrier,p_ko_fixing_exact,p_ko_fixing_mc,p_ko_daily_monitored,ratio_daily_over_fixing
A_equity_psi095,5,-3.0,DOWN,0.0025332375747102454,0.0025298,0.0028669999999999998,1.1332911692623922
A_equity_psi095,5,-2.0,DOWN,0.02692373552531624,0.026831999999999998,0.0331046,1.233773106738223
A_equity_psi095,5,-1.0,DOWN,0.1579087523402677,0.15772919999999999,0.22090279999999998,1.400519371175407
A_equity_psi095,5,1.0,UP,0.1577856007304781,0.1575154,0.2145924,1.362358220212119
A_equity_psi095,5,2.0,UP,0.018758103521496983,0.018871,0.022645199999999997,1.2
A_equity_psi095,5,3.0,UP,0.0007035114651106067,0.0007191999999999999,0.0007896,1.0978865406006675
A_equity_psi095,21,-3.0,DOWN,0.003718449166514093,0.003682,0.0053822,1.4617599130907117
A_equity_psi095,21,-2.0,DOWN,0.030432107165338174,0.0303278,0.047552199999999996,1.567940965055164
A_equity_psi095,21,-1.0,DOWN,0.15787593992702664,0.1577714,0.268841,1.7039907106104146
A_equity_psi095,21,1.0,UP,0.15763393652671565,0.157657,0.2516352,1.5960927837013263
A_equity_psi095,21,2.0,UP,0.014910348495602355,0.0149158,0.021735599999999997,1.457219860818729
A_equity_psi095,21,3.0,UP,0.00026576522875376707,0.000265,0.00034439999999999997,1.2996226415094339
A_equity_psi095,63,-3.0,DOWN,0.003989666380416423,0.0039778,0.0066944,1.6829403187691687
A_equity_psi095,63,-2.0,DOWN,0.03122472968334533,0.0312028,0.055084799999999996,1.765380029997308
A_equity_psi095,63,-1.0,DOWN,0.158281844826907,0.1581628,0.295136,1.8660266510203412
A_equity_psi095,63,1.0,UP,0.15814629927341284,0.158137,0.26934379999999997,1.7032307429633797
A_equity_psi095,63,2.0,UP,0.014449795176394886,0.014442199999999999,0.023086,1.5985099223110053
A_equity_psi095,63,3.0,UP,0.0002196755467993583,0.0002182,0.00032639999999999996,1.4958753437213566
B_equity_psi098,5,-3.0,DOWN,0.0022306290283045094,0.0022256,0.0025016,1.1240115025161754
B_equity_psi098,5,-2.0,DOWN,0.02607653955033351,0.0259898,0.0319548,1.2295131166842377
B_equity_psi098,5,-1.0,DOWN,0.15832123117340635,0.1581494,0.220965,1.3971915163762871
B_equity_psi098,5,1.0,UP,0.15827615676044715,0.1580054,0.21566539999999998,1.3649242367665915
B_equity_psi098,5,2.0,UP,0.019502605440515297,0.019626599999999998,0.023560599999999998,1.2004422569370141
B_equity_psi098,5,3.0,UP,0.0007765806690746002,0.0007926,0.0008715999999999999,1.0996719656825638
B_equity_psi098,21,-3.0,DOWN,0.0034335930128741587,0.003392,0.0049308,1.4536556603773585
B_equity_psi098,21,-2.0,DOWN,0.02983606513256465,0.029743,0.0463996,1.5600174831052684
B_equity_psi098,21,-1.0,DOWN,0.15833420890418615,0.1582188,0.268853,1.6992481298050548
B_equity_psi098,21,1.0,UP,0.15823189979411867,0.158273,0.2532042,1.599794026776519
B_equity_psi098,21,2.0,UP,0.015395924470195776,0.015405199999999999,0.0225494,1.4637524991561293
B_equity_psi098,21,3.0,UP,0.0002764962132395521,0.0002716,0.00035759999999999996,1.316642120765832
B_equity_psi098,63,-3.0,DOWN,0.00449991238770675,0.004488,0.0074995999999999995,1.6710338680926915
B_equity_psi098,63,-2.0,DOWN,0.032655143300849176,0.0326254,0.057385399999999996,1.758917898324618
B_equity_psi098,63,-1.0,DOWN,0.15851896655049724,0.1584478,0.29556299999999996,1.8653651234034172
B_equity_psi098,63,1.0,UP,0.15839743629649927,0.1583702,0.26822599999999996,1.693664590939457
B_equity_psi098,63,2.0,UP,0.012506666620947682,0.012494199999999999,0.0198898,1.5919226521105794
B_equity_psi098,63,3.0,UP,9.463555862754269e-05,9.2e-05,0.0001346,1.4630434782608694
C_fx_psi099_lowskew,5,-3.0,DOWN,0.0019666336236877635,0.0019702,0.0022006,1.1169424423916354
C_fx_psi099_lowskew,5,-2.0,DOWN,0.025088482471580353,0.0250294,0.0306356,1.223984594117318
C_fx_psi099_lowskew,5,-1.0,DOWN,0.15828665067677983,0.1581312,0.2196698,1.3891616581673951
C_fx_psi099_lowskew,5,1.0,UP,0.15825264852396903,0.15795779999999998,0.2170276,1.373959373959374
C_fx_psi099_lowskew,5,2.0,UP,0.02061787242054769,0.0207414,0.025044999999999998,1.2074884048328463
C_fx_psi099_lowskew,5,3.0,UP,0.0009718713016242386,0.0010018,0.001106,1.1040127770013974
C_fx_psi099_lowskew,21,-3.0,DOWN,0.0028204121127306525,0.0028016,0.0039942,1.4256853226727584
C_fx_psi099_lowskew,21,-2.0,DOWN,0.02801987403415973,0.027919199999999998,0.0430782,1.5429596836585575
C_fx_psi099_lowskew,21,-1.0,DOWN,0.1584439498072696,0.1583492,0.2654022,1.6760564625523842
C_fx_psi099_lowskew,21,1.0,UP,0.15838597676874522,0.1584562,0.2574512,1.6247467754496197
C_fx_psi099_lowskew,21,2.0,UP,0.017680782077318158,0.017682,0.0263728,1.4915054858047732
C_fx_psi099_lowskew,21,3.0,UP,0.0005211574479281333,0.000521,0.0007048,1.3527831094049905
C_fx_psi099_lowskew,63,-3.0,DOWN,0.003832239736805576,0.0038155999999999997,0.006267,1.6424677639165532
C_fx_psi099_lowskew,63,-2.0,DOWN,0.031032084519313385,0.0309842,0.0535126,1.7270931636124218
C_fx_psi099_lowskew,63,-1.0,DOWN,0.15892130697391615,0.15884199999999998,0.28990119999999997,1.825091600458317
C_fx_psi099_lowskew,63,1.0,UP,0.15892408246606815,0.15892799999999999,0.275345,1.7325140944326993
C_fx_psi099_lowskew,63,2.0,UP,0.01477483456381834,0.0147704,0.0240228,1.6264149921464552
C_fx_psi099_lowskew,63,3.0,UP,0.00022204993680086105,0.0002218,0.0003322,1.4977457168620378
