world,tag,greedy,nohedge,bound,churn,H_exact,H_fwd,recon,H_ramp,ramp_pnl,gap_vs_ramp,gap_pre,gap_avg,gap_post,gap_overshort,gap_undercover,u_post_max,u_post_mean,u_pre_mean,u_mean,dev_mean,basis0,basis_avg,basis_move,P0,dP_pct,vs_nohedge,vs_ramp,mech
garch,202001,-94.52,-194.35,810.1,125.0,99.83,97.46,2.37,219.26,24.91,-121.81,-152.48,30.67,0.0,-0.0,-121.81,0.0,0.0,0.396,0.334,0.518,-16.87,-2.78,14.1,969.4,-21.6,99.83,-119.43,under-cover+basis
garch,202002,-47.71,-172.13,892.94,112.5,124.42,112.47,11.95,141.87,-30.26,-29.4,-38.74,5.95,3.39,-0.12,-29.28,0.375,0.219,0.406,0.371,0.46,1.06,-40.03,-41.09,965.4,-13.78,124.42,-17.45,OVER-HOLD(post-fixing)+under-cover+basis
garch,202003,-31.43,-49.94,845.94,243.8,18.51,8.25,10.26,29.94,-20.0,-21.69,32.6,-54.28,0.0,-7.54,-14.14,0.0,0.0,0.517,0.506,0.343,19.44,-11.45,-30.89,856.1,-2.48,18.51,-11.43,basis
garch,202004,49.13,135.4,628.43,218.8,-86.27,-90.99,4.72,-181.65,-46.25,90.66,37.78,52.88,0.0,0.0,90.66,0.0,0.0,0.298,0.215,0.632,14.13,-18.84,-32.96,710.9,23.4,-86.27,95.38,basis
garch,202005,144.44,169.58,746.71,62.5,-25.14,-23.85,-1.29,-150.37,19.21,126.52,102.65,23.87,0.0,0.0,126.52,0.0,0.0,0.076,0.055,0.792,-34.59,-9.82,24.77,814.6,16.55,-25.14,125.23,basis
garch,202006,90.91,87.3,751.38,181.2,3.61,-8.19,11.8,-0.23,87.07,-7.96,7.85,-24.94,9.13,20.6,-28.55,0.625,0.625,0.248,0.369,0.488,-68.24,7.99,76.23,900.7,0.41,3.61,3.84,OVER-HOLD(post-fixing)+under-cover+basis
garch,202007,62.95,62.96,699.5,306.2,-0.01,-10.44,10.43,-36.01,26.95,25.57,54.23,-28.66,0.0,0.0,25.57,0.0,0.0,0.814,0.591,0.251,-10.45,6.25,16.7,822.5,5.9,-0.01,36.0,basis
garch,202008,-18.75,1.36,637.15,262.5,-20.11,-53.53,33.42,7.86,9.22,-61.39,-70.39,18.49,-9.49,-23.7,-37.69,0.25,0.125,0.375,0.343,0.502,-17.8,-8.32,9.48,924.3,-0.9,-20.11,-27.97,OVER-HOLD(post-fixing)+over-short+under-cover
garch,202009,26.24,89.72,605.54,412.5,-63.48,-45.48,-18.0,-74.91,14.81,29.43,27.79,-4.13,5.77,-24.12,53.55,0.75,0.75,0.529,0.596,0.254,-17.14,-11.87,5.27,947.1,9.1,-63.48,11.43,OVER-HOLD(post-fixing)+over-short
garch,202010,8.38,210.46,625.76,187.5,-202.08,-204.66,2.58,-179.48,30.98,-25.18,-17.25,-7.93,0.0,-0.11,-25.07,0.0,0.0,0.765,0.652,0.182,-17.84,-2.3,15.54,895.8,21.84,-202.08,-22.6,under-cover+basis
garch,202011,162.08,352.15,685.55,193.8,-190.07,-199.69,9.62,-358.47,-6.32,158.78,36.01,67.55,55.21,99.89,58.89,1.0,1.0,0.794,0.816,0.027,-1.83,-8.42,-6.59,855.8,41.48,-190.07,168.4,OVER-HOLD(post-fixing)
garch,202012,32.61,213.82,708.43,375.0,-181.21,-178.8,-2.41,-177.3,36.52,-1.5,74.55,-76.06,0.01,-26.13,24.63,0.5,0.5,0.564,0.608,0.243,-30.19,-1.0,29.19,1001.2,18.12,-181.21,-3.91,OVER-HOLD(post-fixing)+over-short+basis
garch,202101,-2.79,142.05,758.24,512.5,-144.84,-145.01,0.17,-129.77,12.28,-15.23,-8.81,-6.0,-0.43,-2.37,-12.86,0.25,0.25,0.525,0.476,0.372,-9.31,-5.67,3.64,1074.3,12.53,-144.84,-15.07,OVER-HOLD(post-fixing)
garch,202102,244.04,123.87,765.09,250.0,120.17,112.28,7.89,-75.73,48.14,188.01,129.06,23.66,35.29,52.12,135.89,1.0,1.0,0.169,0.378,0.467,-38.57,3.58,42.15,1137.1,6.65,120.17,195.9,OVER-HOLD(post-fixing)+basis
garch,202103,60.54,-73.18,751.02,150.0,133.72,129.23,4.49,75.06,1.88,54.17,17.45,42.67,-5.95,37.61,16.56,0.875,0.875,0.5,0.628,0.229,17.69,8.61,-9.08,1188.8,-5.69,133.72,58.66,OVER-HOLD(post-fixing)
garch,202104,-11.61,-84.43,765.31,375.0,72.82,59.72,13.1,127.06,42.63,-67.33,-72.0,4.67,0.0,0.72,-68.06,0.0,0.0,0.569,0.471,0.369,-27.56,6.1,33.66,1205.6,-10.25,72.82,-54.24,under-cover+basis
garch,202105,-127.46,-198.15,768.28,231.2,70.69,64.07,6.62,231.67,33.52,-167.6,-102.59,-51.2,-13.81,-3.99,-163.61,0.625,0.625,0.419,0.481,0.368,-13.21,8.02,21.22,1226.7,-18.21,70.69,-160.98,OVER-HOLD(post-fixing)+under-cover+basis
garch,202106,-98.49,-196.08,808.98,300.0,97.59,98.21,-0.62,239.67,43.59,-141.46,-129.47,-12.0,0.0,-5.56,-135.9,0.0,0.0,0.47,0.562,0.292,-21.02,8.59,29.61,1197.0,-19.13,97.59,-142.08,under-cover+basis
garch,202107,-65.29,-35.61,691.04,450.0,-29.68,-27.99,-1.69,62.19,26.58,-90.19,-117.33,27.14,0.0,7.48,-97.67,0.0,0.0,0.538,0.482,0.352,-21.16,-3.45,17.71,1077.7,-5.43,-29.68,-91.87,under-cover+basis
garch,202108,84.19,-5.65,730.94,131.2,89.84,100.67,-10.83,27.04,21.39,73.64,-26.07,90.22,9.49,77.39,-3.76,1.0,1.0,0.379,0.458,0.391,-3.37,11.51,14.89,1053.9,-2.44,89.84,62.8,OVER-HOLD(post-fixing)+basis
garch,202109,-31.88,-54.74,631.75,287.5,22.86,20.89,1.97,62.71,7.97,-41.82,5.78,-45.45,-2.15,-35.44,-6.39,0.125,0.062,0.502,0.568,0.279,7.53,2.36,-5.17,998.0,-5.46,22.86,-39.85,over-short
garch,202110,-3.85,34.96,605.85,425.0,-38.81,-39.93,1.12,-19.78,15.18,-20.14,32.59,-52.73,0.0,-48.36,28.22,0.0,0.0,0.663,0.64,0.207,-11.22,-5.84,5.38,971.7,2.38,-38.81,-19.03,over-short
