world,band,mean,giveback,gb_lo,gb_hi,std,cvar5,m_std,m_cvar,neg
garch,free,19.205833333333334,0.0,0.0,0.0,82.64739106804649,-114.56666666666666,0.23238281432889393,0.1676389292988071,23
garch,0.3,17.150000000000002,-2.0558333333333323,-18.54880208333333,13.621114583333313,39.152664483662065,-47.88333333333333,0.43802893688516376,0.3581621997911591,17
garch,0.6,22.86375,3.657916666666665,-6.334401041666665,13.870249999999995,60.090712442177875,-79.87,0.38048725120376264,0.286262050832603,19
garch,0.4,18.689375000000002,-0.5164583333333326,-13.521119791666669,11.883677083333323,48.58190396863924,-64.33333333333333,0.38469828214358237,0.2905084196891192,18
garch,0.5,21.910625,2.704791666666665,-7.896890624999998,13.135005208333332,57.245296021789784,-76.99000000000001,0.3827497894614776,0.2845905312378231,18
garch,0.15,17.400000000000002,-1.8058333333333323,-22.084916666666665,17.594375,31.265197019703088,-40.89333333333334,0.5565293571965868,0.4254972285621128,12
garch,0.25,16.853333333333335,-2.352499999999999,-18.71332291666667,13.748427083333308,37.930975347071445,-47.53333333333333,0.44431584421766096,0.3545582047685835,17
hmm,free,22.09479166666667,0.0,0.0,0.0,88.15448832998595,-122.67,0.25063717214215936,0.1801156897910383,22
hmm,0.3,16.801458333333333,-5.2933333333333366,-23.599234374999998,13.316536458333314,39.46114129490047,-58.553333333333335,0.4257722352167389,0.2869428156666287,14
hmm,0.15,16.941458333333333,-5.153333333333336,-27.36001041666666,16.791296874999976,30.365207693239086,-46.69,0.5579233478157768,0.3628498250874563,10
hmm,0.4,18.642291666666665,-3.452500000000004,-18.582760416666666,11.985145833333302,47.41933550507544,-69.44000000000001,0.3931369233268004,0.2684661818356374,16
hmm,0.25,16.882291666666667,-5.212500000000002,-23.805677083333336,13.316755208333309,38.15966006581626,-60.083333333333336,0.4424120036066559,0.28098127600554784,14
hmm,0.6,23.104375,1.0095833333333317,-10.883364583333332,13.27838020833333,60.40881135201028,-79.99666666666667,0.38246696935266106,0.28881672153006377,18
